,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
17,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,"Asked about management of red palm weevil in coconut
","Recommended to practice clean cultivation by cutting and removing palms already damaged and the decaying stumps in the garden. Avoid making steps or any other injury on the tree trunks to reduce the loci of infestation.
As a prophylactic measure, clean the crown and apply 250 gram neem cake mixed with equal volume of sand in the innermost 2-3 leaf axils. Naphthalene balls 12.0 gram (approx. 4 nos.) in the innermost 2 leaf axils and covered with fine sand, once in 45 days.
Observe for boreholes in attacked palms and seal all except the top most one. Through the top most hole, imidachloprid (1ml/ litre of water) @ 1-2 litre per palm, using a funnel.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T11:27:12.53
18,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of pseudostem weevil in banana,"Recommended to remove severly affected plants. Regularly remove dried hanging leaves of the plant. Observe strict field sanitation. Uproot severly affected plants and burn or destroy using kerosene. Place 50 gram neem cake powder or bar soap in the leaf axils on the 5th and 7th month.
Cut pseudo stem into small pieces in lengths of up to 60 cm and split each along its length. The split pseudo stem are placed in the soil in the way that the cut portion faces the ground. The recommended number is 30 to 40 numbers (split traps) per acre.
The open cut side of the above pseudostem trap can be sprayed with solution of Beauveria bassiana  (5 gram /liter). The weevil gets infected by the fungal spores when it enters the pseudostem trap. This kills the insects within 72 hours.
n case of severe attack, spray or Quinalphos 25 EC (1.5 ml/litre of water) with nozzle directed to the leaf axils and bore holes.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T11:31:19.477
19,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases. ",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T15:28:53.533
20,NA,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,Asked about management of leaf curl in jack fruit,Suggested to spray Verticillium @ 20g per liter water,KERALA,ERNAKULAM,PARAVUR,2022-09-10T16:08:22.737
21,NA,FISHERIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",Asked about fish cultivation,"Suggested to contact Directorate of Fisheries, Ph: 9496007029",KERALA,ERNAKULAM,VYPEEN,2022-09-11T14:23:50.29
22,NA,HORTICULTURE,Vegetables,Ridge Gourd,Cultural Practices,Asked about management of non flowering in ridge gourd,Suggested to spray potassium nitrate 2 gram per litre of water.,KERALA,ERNAKULAM,EDAPPALLY,2022-09-11T16:47:36.027
24,NA,AGRICULTURE,Others,Others,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana
","Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases.
enrol PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-12T14:50:35.93
25,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
Essential documents required are 
1. Land Rights Documents- Record of Right (RoR) 
2. Land Possession Certificate (LPC)
3. Aadhar Card (updated)
4. Bank Passbook (First Page –having details of bank accounts)
The scheme implimented in two seasons - Kharif and Rabi. The last date for registering PMFBY in Kharif season was 1st August 2022. Registration for rabi season will start on October 2022. ",KERALA,ERNAKULAM,PALLURUTHY,2022-09-14T11:27:16.96
27,NA,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,Asked about management of bacterial wilt in ginger,Suggested to spray drench the beds with Bordeaux mixture (1 %).,KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-14T16:33:51.967
29,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,"Asked about fertilizer requirement in Nutmeg Third year
","Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 20 kg/plant is recommended in every year. The first split has to be applied in May-June. The urea, rock phosphate, Muriate of Potash needed at this time is 66 gram, 150 gram, 126 gram respectively per plant. The second dose has to apply in September-October and the dosage is 63 gram urea, 150 gram rock phosphate, 82 gram Muriate of Potash respectively per plant.
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-16T12:02:38.96
30,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,"Asked about fertilizer requirement in Nutmeg fifth year
","Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 30 kg/plant is recommended in every year. The first split has to be applied in May-June. The urea, rock phosphate, Muriate of Potash needed at this time is 110 gram, 250 gram, 210 gram respectively per plant. The second dose has to apply in September-October and the dosage is 105 gram urea, 250 gram rock phosphate, 205 gram Muriate of Potash respectively per plant(Fifth year).
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-16T13:22:55.063
32,NA,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked about management of fruit rot disease in nutmeg,Suggested to spray copper oxychloride @ 2g per litre water.,KERALA,ERNAKULAM,PARAVUR,2022-09-17T10:02:31.94
33,NA,AGRICULTURE,Others,Others,Weed Management,Asked about mangement of pandanus plant,Suggested to spray Glufosinate ammonium @ 6g per litre water on pandanus plant.,KERALA,ERNAKULAM,PARAVUR,2022-09-17T10:16:50.063
34,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,"Asked about management of pseudostem weevil in banana
","Recommended to remove affected plants along with the rhizome in full and destroy them by burning the life stages of the insect using kerosene or by burying the material in deep pits in soil. Regularly remove dried hanging leaves of the plant. Observe strict field sanitation.
 Place 50 gram neem cake powder or bar soap in the leaf axils on the 5th and 7th month. 
Mix 3 ml neem oil in 1 litre mud slurry and swab around the pseudostem.
Apply neem cake in planting pits. Spray Beauveria bassiana @ 20g per litre water on pseudostem and pseudostem traps. Fill the leaf axil with Beauveria bassiana @ 20g per litre water. 
Pseudostem trap: Cut pseudo stem into small pieces in lengths of up to 60 cm and split each along its length. The split pseudo stem are placed in the soil in the way that the cut portion faces the ground. The recommended number is 30 to 40 numbers (split traps) per acre.
In case of severe attack, spray  Chlorpyrifos 25 EC (1.5 ml/litre of water) with nozzle directed to the leaf axils and bore holes.",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T10:45:30.563
36,NA,AGRICULTURE,Others,Others,	Plant Protection	,Askled about management of leaf eating caterpillar i ngarcinia,"Suggested to spray neem oil garlic emulsion (20g garlic+20ml neem oil+5g bar soap+ 1 litre water) to the leaves.
Or spray azadirachtin @ 5ml per litre water
Or spray Beauveria @ 20g per litre water",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T16:56:40.43
37,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,Asked about application of lime to nutmeg plant,Suggested that application of lime reduces the soil acidicity. So apply lime @ 750g per plant per year at 2 weeks ahead of fertilizer application.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T17:00:58.25
41,NA,AGRICULTURE,Others,Others,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana
","Suggested to enrol PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases. Enrollment for rabi crops starts in October 1.

",KERALA,ERNAKULAM,0   ,2022-09-21T12:53:07.59
44,NA,AGRICULTURE,Others,Others,Cultural Practices,Asked about the crops which can be cultivate in shaded region,"Suggested that crops such as ginger, turmeric, arrow root, colocasia etc. can be cultivate in shaded region.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-21T15:55:21.23
46,NA,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked about management of dieback disease of nutmeg,Recommended to prun twigs 2-3 inches below the affected portion. Paste the pruned twigs with Copper oxychloride 50 WP @ 10 gram/litre of water followed by spraying of Copper oxychloride 50 WP @ 3 gram/litre of water on infected tree.,KERALA,ERNAKULAM,VADAVUCODE,2022-09-22T15:12:26.103
47,NA,AGRICULTURE,Others,Others,	Plant Protection	,Asked about no fruit set in coccinnia,Suggested to contact krishibhavan,KERALA,ERNAKULAM,ANGAMALI,2022-09-22T16:40:31.737
50,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.
",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-24T10:44:35.36
51,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of Bud Rot in Coconut,Recommended to clean the crown in general during pre-monsoon period. Cut and remove the affected parts of the crown along with healthy tissues. Poure Mancozeb solution (5 gram /300 ml of water) coupled with placing of small perforated sachets (2 no) containing 3-4 gram Mancozeb 75 WP in the inner most leaf axils. Spray Bordeaux mixture (1%) on the crown of the neighbouring palms as a prophylatic measure.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-24T10:45:36.17
52,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.",KERALA,ERNAKULAM,VYPEEN,2022-09-24T14:09:59.333
54,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of leaf curling of chilli plants.,"Recommended to spray neem oil-garlic emulsion (20 ml neem oil+ 20 gram garlic paste+ 5 gram bar soap dissolved / litre of water).
Or spray Azadirachtin at 5ml per litre water.
Or spray Verticillium lecanii @ 20g per litre water.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-25T12:59:12.47
56,NA,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,Asked about management of white insect on bittergourd,Suggested to spray Imidacloprid 17.8 SL @ 2-3 ml/10 litre of water,KERALA,ERNAKULAM,PAMPAKUDA,2022-09-25T15:52:30.61
57,NA,HORTICULTURE,Fruits,Passion Fruit,	Plant Protection	,Asked about not fruit setting in passion fruit,Suggested to spray borax at 1g per litre water to the plants.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-26T11:14:15.227
63,NA,HORTICULTURE,Fruits,Banana,Field Preparation,Asked about planting of tissue culture banana,Suggested to Prepare pits 15 days in advance of planting. Pit size IS 50 cm x 50 cm x 50 cm. spacing 2 m x 2 m   Fill the pits with topsoil and FYM 15-20 kg per plant per pit. Plant the tissue culture plants on the top of the page at the ground level. Remove the polythene cover completely before finding without damaging the roots. Planting may be done preferably during evening hours. Provide partial shade to plants to protect against sun scorching for about two weeks. Irrigate the crop daily during initial days of establishment.,KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-27T16:11:10.397
64,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut 
","Recommended to apply organic manure @ 25 kg/plant  every year. Lime @ 1kg per palm has to be applied in acid soils two weeks before of fertilizer application.
The first split has to be applied in April-June. The dosage is 500 gram Urea, 750 gram Raj phos, 1000 gram Potash. .
The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1000 gram Potash.
",KERALA,ERNAKULAM,PARAVUR,2022-09-27T16:24:41.08
65,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of drying of leaves in coconut,Suggested to drench hexaconazole 1ml in one litre of water.,KERALA,ERNAKULAM,PARAVUR,2022-09-27T16:26:01.5
67,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about management  of failure of unfolding of leaf ,Suggested to give foliar spray of borax 1 gram in one litre of water.,KERALA,ERNAKULAM,ALANGAD,2022-09-29T13:55:29.033
69,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	, Asked about banana sucker treatment,"Suggested that Dip suckers in cowdung and ash slurry containing nem oil 5% to control rhizome weevil
or, psuedomonas 20g in 1 liter water. dry in shade.",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-30T11:32:31.507
