,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
27,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about doses of fertilizer for nendran banana,"Recommended to apply lime @ 1 Kg per plant at two weeks ahead of fertilizer application. Apply organic manure @ 10 Kg per plant at planting time. 
Apply 210g Urea, 320g Rajphos and 250g Potash per plant at two months after planting. (Or apply 320g 18:18:18 fertilizer, 90g Urea and 160 g Potash per plant at two months after planting)
Apply 210g Urea, 320g Rajphos and 250 Potash per plant four moths after planting.  (Or apply 320g 18:18:18 fertilizer, 90g Urea and 160 g Potash per plant at four months after planting).
Apply the fertilizer 60-75 cm around the plant. Irrigate immediately after manuring.",KERALA,PATHANAMTHITTA,PARAKODE,2022-08-12T12:18:34.98
30,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-17T09:15:15.473
31,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about doses of fertilizer for nendran banana,"Recommended to apply lime @ 1 Kg per banana plant in soils two weeks before of fertilizer application. Apply organic manure @ 10 kg per plant is at planting time.
The first split has to be applied in one month after planting. The dosage is 90 gram urea, 360 gram raj phos, 100 gram Potash respectively per plant.
The second dose has to be applied in two month after planting. The dosage is 70 gram urea, 280 gram raj phos, 100 gram potash respectively per plant.
The fertilizer dose at 3rd, 4th, 5th months are same and the dosage is 70 gram urea, 100 gram Muriate of Potash respectively each time.
The sixth dose has to be applied at just after complete bunch emergence. The fertilizer dose is 70 gram urea.
Apply the fertilizer 60-75 cm around the plant. Irrigate immediately after manuring.",KERALA,PATHANAMTHITTA,ELANTHOOR,2022-08-17T11:20:00.13
32,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-17T12:46:17.513
34,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T09:29:17.413
35,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T10:55:21.053
36,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T11:42:14.86
37,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,"
TEST CALL",KERALA,PATHANAMTHITTA,KONNI,2022-08-19T10:51:28.263
40,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-19T12:05:35.4
42,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about nutrient management in coconut,"Suggested to apply Lime @ 1 kg soils two weeks ahead of fertilizer application.The first split has to be applied in April-June. the dosage is 500 gram urea, 750 gram rajphos, 1000 gram Muriate of Potash respectively. After ten days, add 100 gram Borax. The second dose has to be applied in September-October and the dosage is 500 gram urea, 750 gram rajphos, 1000 gram Muriate of Potash respectively. After ten days, add 100 gram Borax. Recommended to apply Organic manure @ 25 kg/plant  every year. 
",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-19T14:40:22.597
43,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about management of non flowering in garcinia,Suggested to apply 20 g borax per plant.,KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-19T14:43:55.113
44,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T09:32:18.907
45,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T10:18:16.487
46,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T15:05:57.957
47,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T15:08:19.62
48,NA,HORTICULTURE,Vegetables,"Colocasia (Arvi, Arbi)",Nutrient Management,"First fertilizer requirement in Coloccassia
","First fertilizer requirement in Coloccassia is 3g Urea,4g Rajphos and 3g Muriate of potash per plant one week after sprouting

",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:45:11.397
49,NA,HORTICULTURE,Vegetables,Amarphophallus (Surankand/Elephant Foot Yam),	Plant Protection	,Asked about management of Foot rot in Amorphophallus,Remove and burn the infected materials. Improve drainage conditions. Incorporate organic amendments like neem cake. Drench the soil with Carbendazim 50 WP 2 gram/litre of water.,KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:54:19.847
50,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,"Planting of nendran banana suckers
","Pits of size of 50 cm x 50 cm x 50 cm are made for planting. The pits are filled with top soil and organic manure @ 10 kg/pit.The suckers are planted upright in the centre of pits with 5 cm pseudostem remaining above soil level.
",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:58:48.697
51,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T09:14:05.857
52,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T09:36:31.387
54,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T13:46:03.93
57,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-26T09:13:59.637
58,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-26T09:40:14.5
