,Unnamed: 0.1,Unnamed: 0,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
10,25.0,25,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the rabi season (as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-10T11:47:34.773
11,26.0,26,,AGRICULTURE,Others,Others,Training and Exposure Visits,"Asked about contact number of Farmers training centre, Kozhikode","Suggested to contact Farmers training centre, Kozhikode, Ph: 0495 2373582 ",KERALA,KOZHIKODE,KOZHIKODE,2022-09-10T12:59:55.873
12,33.0,33,,AGRICULTURE,Others,Others,Cultural Practices,Asked about non-flowering in 4 year old Rambootan plant,Suggested to withhold irrigation until end of March to induce flowering in Rambootan,KERALA,KOZHIKODE,KOZHIKODE,2022-09-10T16:52:28.477
13,36.0,36,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about organic manure application in coconut ( bioboost organic manure for coconut),Suggested to apply 25 kg organic manure along with chemical fertilizers. For dose of bio boost organic contact the company.,KERALA,KOZHIKODE,VADAKARA,2022-09-12T16:59:25.357
14,37.0,37,,AGRICULTURE,Others,Others,Market Information,Asked about GST for copra,Suggested that copra have 5 % GST,KERALA,KOZHIKODE,MELDAY,2022-09-12T17:01:38.94
15,38.0,38,,AGRICULTURE,Others,Others,Nutrient Management,Asked about nutrient management in mangosteen,"Suggested to apply 1 kg urea, 2 kg rajphos and 2.5 kg potash per plant in May- June. Apply the same dose in Sept- Oct.
Apply 1 kg lime per plant 2 weeks before fertilizer application. Apply 75 kg organic manure per plant in a year.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-14T10:36:32.483
16,42.0,42,,HORTICULTURE,Fruits,Mango,Nutrient Management,Asked about nutrient management in Mango,"It is suggested to apply  in Aug-September and the dosage is 542 gram urea, 999 gram rock phosphate, 626 gram Muriate of Potash respectively per plant. Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 75 kg/plant is recommended every year.
",KERALA,KOZHIKODE,0   ,2022-09-14T16:58:10.11
17,43.0,43,,HORTICULTURE,Fruits,Mango,Nutrient Management,Induction of flowering and improvement of yield in adult mango tree,"Dilute Cultar 10ml per 10L of water and drench soil at about 60cm away from tree trunk, soil shoud be wet at the time of application",KERALA,KOZHIKODE,0   ,2022-09-14T17:00:18.907
18,44.0,44,,AGRICULTURE,Others,Others,Training and Exposure Visits,Asked about cultivation of vetiver.,"Suggested to contact Aromatic & Medicinal Plants Research Station, Odakkali, Asamannoor P.O., Ernakulam District Kerala 683549. Phone No: 0484-2658221
Sales center, Ph: 9447163891",KERALA,KOZHIKODE,KOZHIKODE,2022-09-16T14:05:27.893
19,48.0,48,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about second dose of fertilizer for coconut,"Responded that the second dose has to be applied in September-October and the dosage is 180 gram Urea, 750 gram Factomphos and 1 kilogram Muriate of Potash.
",KERALA,KOZHIKODE,BALUSSERI,2022-09-17T09:35:13.127
20,49.0,49,,HORTICULTURE,Fruits,Papaya,	Plant Protection	,Asked about no fruit setting in papaya plant,Suggested that the papaya plants are dioecious. Male and female flowers are present on different plants. The not fruit setting papaya may be male one. Confirm it by contacting nearby krishibhavan.,KERALA,KOZHIKODE,PANTHALAYANI,2022-09-17T11:21:08.08
21,51.0,51,,HORTICULTURE,Fruits,Banana,Seeds and Planting Material,Asked about emergence of seedling from banana bunch,Suggested to inform nearby Krishibhavn,KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-18T15:56:20.113
22,54.0,54,,HORTICULTURE,Plantation Crops,Cashew,	Plant Protection	,Asked about management of cashew stem and root borer ,"Recommended to mechanically remove various stages of pest (grubs and pupae) by carefully chiseling the bark in the infected trees.
Swab the chiseled area with Chlorpyrifos 20 EC (10 ml/litre of water) and drench Chlorpyriphos 20 EC (2 ml/litre of water) solution into the soil near the root zone to minimize reinfestation by the pest.
Swab the trunk region (up to 1 m height from the ground level) and exposed roots, with a suspension of coal tar and kerosene (1:2 ratio) or neem oil (50 ml/litre of water) twice a year during March - April and November-December as prophylatic measure.",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T13:04:20.83
23,55.0,55,,HORTICULTURE,Fruits,Avacado,Seeds and Planting Material,Asked about budding in avocado,"Suggested to contact KVK kozhikode, Ph: 0496 266 6041",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T13:17:38.41
24,57.0,57,,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for mangosteen,"Suggested to apply lime at 1 Kg per plant per year at two weeks ahead of fertilizer application. Apply farm yard manure at 75 Kg per plant per year. Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year.",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T14:38:58.383
25,63.0,63,,AGRICULTURE,Others,Others,	Plant Protection	,Asked about management of flower dropping in mangosteen,"Suggested to apply lime at 1 Kg per plant per year at two weeks ahead of fertilizer application. Apply farm yard manure at 75 Kg per plant per year. Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year.
Apply borax at 100g per plant.",KERALA,KOZHIKODE,THUNERI,2022-09-20T15:24:44.673
26,65.0,65,,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of bud rot disease in coconut,"Recommended to clean the crown before monsoon and apply Bordeaux paste. Cover the applied part with a mud pot inverted to avoid contact with water. Spray Bordeaux mixture (1%) on the crown of the neighbouring palms as a prophylatic measure.
Burn all diseased tissues removed from the palm. Pouring Mancozeb solution (5 gram /300 ml of water) coupled with placing of small perforated sachets (2 no) containing 3-4 gram Mancozeb 75 WP in the inner most leaf axils is found to be effective. 
As a prophylactic measure, formulations of biocontrol agents like Trichoderma harzianum and Pseudomonas flourescens can also be applied on the crown.",KERALA,KOZHIKODE,KODUVALLY,2022-09-20T16:44:46.3
27,66.0,66,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.Suggested that last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-21T09:47:58.853
28,67.0,67,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. Suggested that last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-21T10:17:20.95
29,69.0,69,,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.
Last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022. Registration for rabi season will start onoctober 2022.",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-21T12:21:58.057
30,71.0,71,,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for 2 months old rambutan plant,Suggested to apply oragnic manure at the time of planting. Application of next doses of fertilizer should be in one year after planting.,KERALA,KOZHIKODE,KOZHIKODE,2022-09-21T15:27:09.19
31,73.0,73,,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of chilli leaf curl disease,Suggested to spray neem oil garlic emulsion (20ml neem oil + 20g garlic + 5g bar soap + 1 litre water) or spray azadirachtin @ 5 ml per litre water or spray Verticillium @ 20g per litre water.,KERALA,KOZHIKODE,KOZHIKODE,2022-09-22T10:26:54.323
32,76.0,76,,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases.
enroll PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are Aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
The scheme implimented in two season - Kharif and Rabi. Last date for registering in kharif season was 1st august 2022. Registrsation for rabi season will start on october 2022.
",KERALA,KOZHIKODE,KOZHIKODE,2022-09-22T12:32:29.927
33,80.0,80,,HORTICULTURE,Fruits,Mango,	Plant Protection	,Asked about methods to induce flowering in mango tree,Suggested to apply Paclobutrazol @ 5 gram/10 litre of water for non-bearing trees as soil drenching 60 cm away from tree trunk. It is done during first fortnight of September and will induce flowering and fruit set yield during off years. Irrigate the trees after the application.,KERALA,KOZHIKODE,KODUVALLY,2022-09-22T14:49:13.21
34,81.0,81,,AGRICULTURE,Others,Others,"Power, Roads etc.",Asked about availability of vegetable seeds,"Suggested to contact KRISHI BUSINESS KENDRA, Vidya Nagar, Near Kasargode Collectorate, Ph: 0499-4257061",KERALA,KOZHIKODE,KODUVALLY,2022-09-22T14:54:49.313
35,82.0,82,,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana ,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
Essential documents required are 
1. Land Rights Documents- Record of Right (RoR) 
2. Land Possession Certificate (LPC)
3. Aadhar Card (updated)
4. Bank Passbook (First Page –having details of bank accounts)
Enrollment of rabi crops starts in Oct 1
",KERALA,KOZHIKODE,THUNERI,2022-09-23T12:24:36.137
36,85.0,85,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application. The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.
",KERALA,KOZHIKODE,KOZHIKODE,2022-09-24T12:25:39.403
37,87.0,87,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked doses of fertilizer for coconut ,Suggested to apply Lime @ 1 kg soils two weeks ahead of fertilizer application.The first split has to be applied in April-June. the dosage is 1400g 18:9:18 fertilizer and 500g Potash per plant respectively.  The second dose has to be applied in September-October and the dosage is 1400g 18:9:18 fertilizer and 500g Potash per plant respectively. Apply Organic manure @ 25 kg/plant  every year.,KERALA,KOZHIKODE,0   ,2022-09-24T13:38:33.56
38,89.0,89,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about Nutrient management in mature Coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application. The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1 kg Potash per palm respectively. Apply 100 gram borax per palm after each fertilizer application

",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-24T14:43:49.25
39,103.0,103,,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,Asked about drying and falling of immature jackfruits,"Suggested to remove the fallen fruits and spray Copper oxy Chloride 2 g in one litre of water. 
Contact KVK Peruvannamuzhi, phone : 0496 266 6041",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-27T16:49:31.74
40,,0,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T10:30:52.713
41,,1,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T12:27:24.143
42,,2,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-02T14:32:35.66
43,,3,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-03T09:46:14.65
44,,4,,AGRICULTURE,Others,Others,Nutrient Management,Asked about nutrient management in Mangostien three months after planting,"5Kg FYM every six months+18-18-18 100g every three months and spraying with 19-19-19 5g per one litre of water once in two weeks and micromix 1gm per one litre of water every month
",KERALA,PATHANAMTHITTA,0   ,2022-08-03T10:01:58.34
45,,5,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-03T10:59:42.03
46,,6,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-04T09:18:55.717
47,,7,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-04T09:25:18.853
48,,9,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T09:13:58.877
49,,10,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T09:15:08.077
50,,11,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-05T12:50:22.667
51,,15,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-06T11:55:53.903
52,,17,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-08T09:25:55.15
53,,21,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-08T14:41:19.947
54,,22,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-09T09:23:24.57
55,,23,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-09T09:24:24.147
56,,24,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-10T15:29:34.67
57,,27,,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about doses of fertilizer for nendran banana,"Recommended to apply lime @ 1 Kg per plant at two weeks ahead of fertilizer application. Apply organic manure @ 10 Kg per plant at planting time. 
Apply 210g Urea, 320g Rajphos and 250g Potash per plant at two months after planting. (Or apply 320g 18:18:18 fertilizer, 90g Urea and 160 g Potash per plant at two months after planting)
Apply 210g Urea, 320g Rajphos and 250 Potash per plant four moths after planting.  (Or apply 320g 18:18:18 fertilizer, 90g Urea and 160 g Potash per plant at four months after planting).
Apply the fertilizer 60-75 cm around the plant. Irrigate immediately after manuring.",KERALA,PATHANAMTHITTA,PARAKODE,2022-08-12T12:18:34.98
58,,30,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-17T09:15:15.473
59,,31,,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about doses of fertilizer for nendran banana,"Recommended to apply lime @ 1 Kg per banana plant in soils two weeks before of fertilizer application. Apply organic manure @ 10 kg per plant is at planting time.
The first split has to be applied in one month after planting. The dosage is 90 gram urea, 360 gram raj phos, 100 gram Potash respectively per plant.
The second dose has to be applied in two month after planting. The dosage is 70 gram urea, 280 gram raj phos, 100 gram potash respectively per plant.
The fertilizer dose at 3rd, 4th, 5th months are same and the dosage is 70 gram urea, 100 gram Muriate of Potash respectively each time.
The sixth dose has to be applied at just after complete bunch emergence. The fertilizer dose is 70 gram urea.
Apply the fertilizer 60-75 cm around the plant. Irrigate immediately after manuring.",KERALA,PATHANAMTHITTA,ELANTHOOR,2022-08-17T11:20:00.13
60,,32,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-17T12:46:17.513
61,,34,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T09:29:17.413
62,,35,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T10:55:21.053
63,,36,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-18T11:42:14.86
64,,37,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,"
TEST CALL",KERALA,PATHANAMTHITTA,KONNI,2022-08-19T10:51:28.263
65,,40,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-19T12:05:35.4
66,,42,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about nutrient management in coconut,"Suggested to apply Lime @ 1 kg soils two weeks ahead of fertilizer application.The first split has to be applied in April-June. the dosage is 500 gram urea, 750 gram rajphos, 1000 gram Muriate of Potash respectively. After ten days, add 100 gram Borax. The second dose has to be applied in September-October and the dosage is 500 gram urea, 750 gram rajphos, 1000 gram Muriate of Potash respectively. After ten days, add 100 gram Borax. Recommended to apply Organic manure @ 25 kg/plant  every year. 
",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-19T14:40:22.597
67,,43,,AGRICULTURE,Others,Others,Nutrient Management,Asked about management of non flowering in garcinia,Suggested to apply 20 g borax per plant.,KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-19T14:43:55.113
68,,44,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T09:32:18.907
69,,45,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T10:18:16.487
70,,46,,AGRICULTURE,Others,Others,Training and Exposure Visits,TEST CALL,TEST CALL,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T15:05:57.957
71,,47,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-21T15:08:19.62
72,,48,,HORTICULTURE,Vegetables,"Colocasia (Arvi, Arbi)",Nutrient Management,"First fertilizer requirement in Coloccassia
","First fertilizer requirement in Coloccassia is 3g Urea,4g Rajphos and 3g Muriate of potash per plant one week after sprouting

",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:45:11.397
73,,49,,HORTICULTURE,Vegetables,Amarphophallus (Surankand/Elephant Foot Yam),	Plant Protection	,Asked about management of Foot rot in Amorphophallus,Remove and burn the infected materials. Improve drainage conditions. Incorporate organic amendments like neem cake. Drench the soil with Carbendazim 50 WP 2 gram/litre of water.,KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:54:19.847
74,,50,,HORTICULTURE,Fruits,Banana,Nutrient Management,"Planting of nendran banana suckers
","Pits of size of 50 cm x 50 cm x 50 cm are made for planting. The pits are filled with top soil and organic manure @ 10 kg/pit.The suckers are planted upright in the centre of pits with 5 cm pseudostem remaining above soil level.
",KERALA,PATHANAMTHITTA,KOIPURAM,2022-08-22T16:58:48.697
75,,51,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T09:14:05.857
76,,52,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T09:36:31.387
77,,54,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-23T13:46:03.93
78,,57,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test call,Test call,KERALA,PATHANAMTHITTA,KONNI,2022-08-26T09:13:59.637
79,,58,,AGRICULTURE,Others,Others,Training and Exposure Visits,Test Call,Test Call,KERALA,PATHANAMTHITTA,KONNI,2022-08-26T09:40:14.5
80,,0,,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about doses of fertilizer for coconut,"Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.",KERALA,ERNAKULAM,VADAVUCODE,2022-09-01T09:47:57.587
