,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
10,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about government assistance for vegetable cultivation,Suggested to contact krishi bhavan,KERALA,ERNAKULAM,VYTTILA,2022-09-04T16:33:28.217
11,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested that
Payment Status: 7nth installment payment done
Bank Name: STATE BANK OF INDIA
Credited Account:********2336
Credit Date: 01/06/2022
8th Installment : Waiting for approval by state
",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-05T09:37:51.853
12,NA,HORTICULTURE,Fruits,Acid Lime,Nutrient Management,Nutrient management in Acid lime sixth year and above,"30 Kg Organic manure ,1300g Urea , Rajphos 1Kg and Potash 498 g per plant per year,  apply fertilizers in two equal splits, once during May June and second during September - October. Two weeks prior to fertilizer application during May – June apply 500 g lime per plant. 
",KERALA,ERNAKULAM,0   ,2022-09-05T12:41:22.417
13,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of Rhinoceros Beetle,"Recommended to provide field sanitation to prevent breeding of beetles. Hook out the beetle from the attacked palms using beetle hook. As a prophylactic measure, application of 250 gram neem cake or marotti (Hydnocarpus wightina) cake mixed with equal volume of sand in the innermost 2-3 leaf axils. This treatment is to be done twice, ie, during April-May before the onset of south-west monsoon and during September-October after the south-west monsoon. Naphthalene balls 12.0 gram (approx. 4 nos.) can be put in the innermost 2 leaf axils adjacent to spindle leaf and covered with fine sand, once in 45 days.  Crown cleaning followed by the application of 20 gram Ferterra 0.4 G mixed with 200 gram sand in the innermost 2-3 leaf axils. The application has to be done thrice during January, May and September.
Spray Metarrhizium anisopliae (250 ml Metarrizhium culture + 750 ml water) in manure pits and other breeding sites of the beetle or incorporate  Clerodendron infortunatum @ 10 % w/w basis in the cowdung and manure pits.",KERALA,ERNAKULAM,KOOVAPPADY,2022-09-05T13:20:25.63
14,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about Pseudomonas Application in banana,Suggested to do sucker treatment with Pseudomonas fluorescens @ 20 gram per litre of water + soil drenching of  Pseudomonas fluorescens @ 20 gram per litre of water.,KERALA,ERNAKULAM,ANGAMALI,2022-09-05T16:44:54.163
15,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested to contact Krishi Bhavan, Amballoor : 9383470907",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-06T10:39:41.817
16,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme
","Suggested that
PFMS / Bank Status: Farmer Record has been rejected by PFMS / Bank
Contact bank.",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-06T15:29:48.32
17,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,"Asked about management of red palm weevil in coconut
","Recommended to practice clean cultivation by cutting and removing palms already damaged and the decaying stumps in the garden. Avoid making steps or any other injury on the tree trunks to reduce the loci of infestation.
As a prophylactic measure, clean the crown and apply 250 gram neem cake mixed with equal volume of sand in the innermost 2-3 leaf axils. Naphthalene balls 12.0 gram (approx. 4 nos.) in the innermost 2 leaf axils and covered with fine sand, once in 45 days.
Observe for boreholes in attacked palms and seal all except the top most one. Through the top most hole, imidachloprid (1ml/ litre of water) @ 1-2 litre per palm, using a funnel.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T11:27:12.53
18,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,Asked about management of pseudostem weevil in banana,"Recommended to remove severly affected plants. Regularly remove dried hanging leaves of the plant. Observe strict field sanitation. Uproot severly affected plants and burn or destroy using kerosene. Place 50 gram neem cake powder or bar soap in the leaf axils on the 5th and 7th month.
Cut pseudo stem into small pieces in lengths of up to 60 cm and split each along its length. The split pseudo stem are placed in the soil in the way that the cut portion faces the ground. The recommended number is 30 to 40 numbers (split traps) per acre.
The open cut side of the above pseudostem trap can be sprayed with solution of Beauveria bassiana  (5 gram /liter). The weevil gets infected by the fungal spores when it enters the pseudostem trap. This kills the insects within 72 hours.
n case of severe attack, spray or Quinalphos 25 EC (1.5 ml/litre of water) with nozzle directed to the leaf axils and bore holes.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T11:31:19.477
19,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases. ",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-10T15:28:53.533
20,NA,HORTICULTURE,Fruits,Jack Fruit,	Plant Protection	,Asked about management of leaf curl in jack fruit,Suggested to spray Verticillium @ 20g per liter water,KERALA,ERNAKULAM,PARAVUR,2022-09-10T16:08:22.737
21,NA,FISHERIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",Asked about fish cultivation,"Suggested to contact Directorate of Fisheries, Ph: 9496007029",KERALA,ERNAKULAM,VYPEEN,2022-09-11T14:23:50.29
22,NA,HORTICULTURE,Vegetables,Ridge Gourd,Cultural Practices,Asked about management of non flowering in ridge gourd,Suggested to spray potassium nitrate 2 gram per litre of water.,KERALA,ERNAKULAM,EDAPPALLY,2022-09-11T16:47:36.027
23,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to call later for checking beneficiary status in PM Kisan Samman Nidhi.,KERALA,ERNAKULAM,KOOVAPPADY,2022-09-12T13:15:12.75
24,NA,AGRICULTURE,Others,Others,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana
","Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases.
enrol PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-12T14:50:35.93
25,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
Essential documents required are 
1. Land Rights Documents- Record of Right (RoR) 
2. Land Possession Certificate (LPC)
3. Aadhar Card (updated)
4. Bank Passbook (First Page –having details of bank accounts)
The scheme implimented in two seasons - Kharif and Rabi. The last date for registering PMFBY in Kharif season was 1st August 2022. Registration for rabi season will start on October 2022. ",KERALA,ERNAKULAM,PALLURUTHY,2022-09-14T11:27:16.96
26,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about Karshaka Pension,"Suggested to contact ADA Palluruthy, Ph: 9383470937, 0484-2302299",KERALA,ERNAKULAM,PALLURUTHY,2022-09-14T14:43:10.677
27,NA,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,Asked about management of bacterial wilt in ginger,Suggested to spray drench the beds with Bordeaux mixture (1 %).,KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-14T16:33:51.967
28,NA,AGRICULTURE,Others,Others,Government Schemes,"PM Kisan Samman Nidhi Scheme status
",Wait for the process of next installment,KERALA,ERNAKULAM,ANGAMALI,2022-09-16T12:01:35.123
29,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,"Asked about fertilizer requirement in Nutmeg Third year
","Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 20 kg/plant is recommended in every year. The first split has to be applied in May-June. The urea, rock phosphate, Muriate of Potash needed at this time is 66 gram, 150 gram, 126 gram respectively per plant. The second dose has to apply in September-October and the dosage is 63 gram urea, 150 gram rock phosphate, 82 gram Muriate of Potash respectively per plant.
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-16T12:02:38.96
30,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,"Asked about fertilizer requirement in Nutmeg fifth year
","Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 30 kg/plant is recommended in every year. The first split has to be applied in May-June. The urea, rock phosphate, Muriate of Potash needed at this time is 110 gram, 250 gram, 210 gram respectively per plant. The second dose has to apply in September-October and the dosage is 105 gram urea, 250 gram rock phosphate, 205 gram Muriate of Potash respectively per plant(Fifth year).
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-16T13:22:55.063
31,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that 11th installment was credited on 01/06/2022
Farmer Name: THANKAPPAN NAIR
Registration Status: Registration done ( KL162472026 )
Active/InActive: Active
Payment Status: 11th installment payment done				
Bank Name: STATE BANK OF INDIA				
Credited Account: ********1548				
Credit Date: 01/06/2022				
UTR No: ********5640",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-16T15:02:48.783
32,NA,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked about management of fruit rot disease in nutmeg,Suggested to spray copper oxychloride @ 2g per litre water.,KERALA,ERNAKULAM,PARAVUR,2022-09-17T10:02:31.94
33,NA,AGRICULTURE,Others,Others,Weed Management,Asked about mangement of pandanus plant,Suggested to spray Glufosinate ammonium @ 6g per litre water on pandanus plant.,KERALA,ERNAKULAM,PARAVUR,2022-09-17T10:16:50.063
34,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	,"Asked about management of pseudostem weevil in banana
","Recommended to remove affected plants along with the rhizome in full and destroy them by burning the life stages of the insect using kerosene or by burying the material in deep pits in soil. Regularly remove dried hanging leaves of the plant. Observe strict field sanitation.
 Place 50 gram neem cake powder or bar soap in the leaf axils on the 5th and 7th month. 
Mix 3 ml neem oil in 1 litre mud slurry and swab around the pseudostem.
Apply neem cake in planting pits. Spray Beauveria bassiana @ 20g per litre water on pseudostem and pseudostem traps. Fill the leaf axil with Beauveria bassiana @ 20g per litre water. 
Pseudostem trap: Cut pseudo stem into small pieces in lengths of up to 60 cm and split each along its length. The split pseudo stem are placed in the soil in the way that the cut portion faces the ground. The recommended number is 30 to 40 numbers (split traps) per acre.
In case of severe attack, spray  Chlorpyrifos 25 EC (1.5 ml/litre of water) with nozzle directed to the leaf axils and bore holes.",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T10:45:30.563
35,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related  to PM KISAN 
","Suggested to contact PM KISAN NODAL OFFICE - 0471 2964022
",KERALA,ERNAKULAM,0   ,2022-09-19T16:36:07.89
36,NA,AGRICULTURE,Others,Others,	Plant Protection	,Askled about management of leaf eating caterpillar i ngarcinia,"Suggested to spray neem oil garlic emulsion (20g garlic+20ml neem oil+5g bar soap+ 1 litre water) to the leaves.
Or spray azadirachtin @ 5ml per litre water
Or spray Beauveria @ 20g per litre water",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T16:56:40.43
37,NA,HORTICULTURE,Condiments and Spices,Nutmeg,Nutrient Management,Asked about application of lime to nutmeg plant,Suggested that application of lime reduces the soil acidicity. So apply lime @ 750g per plant per year at 2 weeks ahead of fertilizer application.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-19T17:00:58.25
38,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to wait for 12th installment till release.,KERALA,ERNAKULAM,ANGAMALI,2022-09-20T15:25:33.533
39,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact Krishibhavan for cancelling the PM Kisan Samman Nidhi account
Farmer Name: Mohanan
Registration Status: Registration done ( KL124913481 )
Active/InActive: Active
Status: 11th Installment				
Payment Status: 11th installment payment done				
Bank Name: CANARA BANK				
Credited Account: ********2813				
Credit Date: 31/05/2022				
UTR No: ********9029",KERALA,ERNAKULAM,PARAKKADAV,2022-09-21T10:10:52.137
40,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN,Recommended to wait for 12 th installment.,KERALA,ERNAKULAM,ANGAMALI,2022-09-21T10:47:44.853
41,NA,AGRICULTURE,Others,Others,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana
","Suggested to enrol PMFBY through CSC or Akshaya centre via. https://pmfby.gov.in/. Documents required are aadhar card, phone number, bank pass book, land right document, land possession certificate, sowing certificate or self declaration of intent to sow the proposed crop.
Suggested that Pradhan Mantri Fasal Bima Yojana provides insurance coverage and financial support to the farmers in the event of failure of any notified crop as a result of natural calamities, pests and diseases. Enrollment for rabi crops starts in October 1.

",KERALA,ERNAKULAM,0   ,2022-09-21T12:53:07.59
42,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about government schemes for cultivation in leased land,Suggested to contact Krishi Bhavan.,KERALA,ERNAKULAM,KOOVAPPADY,2022-09-21T12:59:54.17
43,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN,"Suggested that
Registration Date	: 12-01-2022	
Reason for Rejection	: upload readable clear copy of latest land tax receipt also
Status	: Rejected By State/District/Sub-District/Block		
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-21T15:26:37.93
44,NA,AGRICULTURE,Others,Others,Cultural Practices,Asked about the crops which can be cultivate in shaded region,"Suggested that crops such as ginger, turmeric, arrow root, colocasia etc. can be cultivate in shaded region.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-21T15:55:21.23
45,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact Krishibhavan
Farmer Name:SREELATHA R
Registration Date:	12-01-2022		
Status: Pending for approval at State/District/Sub-District/Block level",KERALA,ERNAKULAM,PARAKKADAV,2022-09-22T12:19:26.153
46,NA,HORTICULTURE,Condiments and Spices,Nutmeg,	Plant Protection	,Asked about management of dieback disease of nutmeg,Recommended to prun twigs 2-3 inches below the affected portion. Paste the pruned twigs with Copper oxychloride 50 WP @ 10 gram/litre of water followed by spraying of Copper oxychloride 50 WP @ 3 gram/litre of water on infected tree.,KERALA,ERNAKULAM,VADAVUCODE,2022-09-22T15:12:26.103
47,NA,AGRICULTURE,Others,Others,	Plant Protection	,Asked about no fruit set in coccinnia,Suggested to contact krishibhavan,KERALA,ERNAKULAM,ANGAMALI,2022-09-22T16:40:31.737
48,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN,Suggested that PM KISAN official page is temporarily unavailable. Call later.,KERALA,ERNAKULAM,PARAKKADAV,2022-09-23T14:04:27.88
49,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that PM KISAN official site is not available due to technical issues. Call later.
",KERALA,ERNAKULAM,PALLURUTHY,2022-09-24T10:28:28.457
50,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut
","Recommended to apply Organic manure @ 25 kg/plant  every year. Open the coconut basin and apply Lime @ 1 kg has to be applied in acid soils two weeks before of fertilizer application.The first split has to be applied in April-June. The dosage is 500 gram urea, 750 gram raj  phos, 1  kg Potash per palm respectively. The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1kg Potash per palm respectively.
",KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-24T10:44:35.36
51,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of Bud Rot in Coconut,Recommended to clean the crown in general during pre-monsoon period. Cut and remove the affected parts of the crown along with healthy tissues. Poure Mancozeb solution (5 gram /300 ml of water) coupled with placing of small perforated sachets (2 no) containing 3-4 gram Mancozeb 75 WP in the inner most leaf axils. Spray Bordeaux mixture (1%) on the crown of the neighbouring palms as a prophylatic measure.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-24T10:45:36.17
52,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.",KERALA,ERNAKULAM,VYPEEN,2022-09-24T14:09:59.333
53,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN


","Suggested that PM KISAN official page is temporarily unavailable. Call later.

",KERALA,ERNAKULAM,PARAKKADAV,2022-09-24T16:06:48.353
54,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of leaf curling of chilli plants.,"Recommended to spray neem oil-garlic emulsion (20 ml neem oil+ 20 gram garlic paste+ 5 gram bar soap dissolved / litre of water).
Or spray Azadirachtin at 5ml per litre water.
Or spray Verticillium lecanii @ 20g per litre water.",KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-25T12:59:12.47
55,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested to wait for further installments
",KERALA,ERNAKULAM,ANGAMALI,2022-09-25T15:07:34.9
56,NA,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,Asked about management of white insect on bittergourd,Suggested to spray Imidacloprid 17.8 SL @ 2-3 ml/10 litre of water,KERALA,ERNAKULAM,PAMPAKUDA,2022-09-25T15:52:30.61
57,NA,HORTICULTURE,Fruits,Passion Fruit,	Plant Protection	,Asked about not fruit setting in passion fruit,Suggested to spray borax at 1g per litre water to the plants.,KERALA,ERNAKULAM,KOTHAMANGALAM,2022-09-26T11:14:15.227
58,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested to wait for further installments
",KERALA,ERNAKULAM,VADAVUCODE,2022-09-26T11:28:25.503
59,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested that PM KISAN official site is not available due to technical issues. Call later.,KERALA,ERNAKULAM,PARAKKADAV,2022-09-26T11:31:05.263
60,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about eKYC updation in PM Kisan Samman Nidhi,"Suggested that eKYC is MANDATORY for PMKISAN Registered Farmers. OTP Based eKYC is available on PMKISAN Portal. 
Contact Akshaya centre or nearest CSC centre for Biometric based eKYC. ",KERALA,ERNAKULAM,PARAKKADAV,2022-09-26T11:32:27.163
61,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about agricultural land verification in AIMS portal,"Recommended to do land verification through AIMS (https://www.aims.kerala.gov.in/) portal from Akshaya center or CSC. Details needed: Aadhar number, account number, phone number and tax receipt. After verification, submit details in Krishi bhavan
For more details visit https://keralaagriculture.gov.in/pmkisan-2/
User manual-
https://keralaagriculture.gov.in/wp-content/uploads/2022/04/PMKISAN-LV.pdf",KERALA,ERNAKULAM,PARAKKADAV,2022-09-26T11:33:36.663
62,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM kisan samman nidhi scheme
","Suggested to wait for further installments
",KERALA,ERNAKULAM,PARAKKADAV,2022-09-27T15:59:29.363
63,NA,HORTICULTURE,Fruits,Banana,Field Preparation,Asked about planting of tissue culture banana,Suggested to Prepare pits 15 days in advance of planting. Pit size IS 50 cm x 50 cm x 50 cm. spacing 2 m x 2 m   Fill the pits with topsoil and FYM 15-20 kg per plant per pit. Plant the tissue culture plants on the top of the page at the ground level. Remove the polythene cover completely before finding without damaging the roots. Planting may be done preferably during evening hours. Provide partial shade to plants to protect against sun scorching for about two weeks. Irrigate the crop daily during initial days of establishment.,KERALA,ERNAKULAM,MUVATTUPUZHA,2022-09-27T16:11:10.397
64,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,"Asked about nutrient management in coconut 
","Recommended to apply organic manure @ 25 kg/plant  every year. Lime @ 1kg per palm has to be applied in acid soils two weeks before of fertilizer application.
The first split has to be applied in April-June. The dosage is 500 gram Urea, 750 gram Raj phos, 1000 gram Potash. .
The second dose has to apply in September-October and the dosage is 500 gram urea, 750 gram raj phos, 1000 gram Potash.
",KERALA,ERNAKULAM,PARAVUR,2022-09-27T16:24:41.08
65,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of drying of leaves in coconut,Suggested to drench hexaconazole 1ml in one litre of water.,KERALA,ERNAKULAM,PARAVUR,2022-09-27T16:26:01.5
66,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact PM Kisan Nodal Office, Ph: 0471 - 2304022, 0471- 2964022
",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-29T12:17:51.69
67,NA,HORTICULTURE,Fruits,Banana,Nutrient Management,Asked about management  of failure of unfolding of leaf ,Suggested to give foliar spray of borax 1 gram in one litre of water.,KERALA,ERNAKULAM,ALANGAD,2022-09-29T13:55:29.033
68,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme
","
Suggested that PM KISAN official site is not available due to technical issues. Call later.",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-29T16:06:47.29
69,NA,HORTICULTURE,Fruits,Banana,	Plant Protection	, Asked about banana sucker treatment,"Suggested that Dip suckers in cowdung and ash slurry containing nem oil 5% to control rhizome weevil
or, psuedomonas 20g in 1 liter water. dry in shade.",KERALA,ERNAKULAM,MULANTHURUTHY,2022-09-30T11:32:31.507
70,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN eKYC updation
",--Suggested to update through https://exlink.pmkisan.gov.in/aadharekyc.aspx,KERALA,ERNAKULAM,ALANGAD,2022-09-30T15:59:09.51
