,title,heading,content,tokens
3313,Digitalis mariana,Ecology,"Both subspecies grow in cracks in the stone in rocky areas. The subspecies heywoodii is most often found in fissures in granite and slate. The nominate subspecies is usually found in more acidic soils, and often in rock falls, loose scree or among boulders.The specific phytosociological suballiance and alliance wherein both subspecies occur is called 'Rumici indurati-Dianthion lusitani', which is in the order 'Phagnalo saxatilis-Rumicetalia indurati', in the class 'Phagnalo saxatilis-Rumicetea indurati'. It is a characteristic species of this phytocoenosis. In this habitat it occurs together with these following characteristic species: Antirrhinum graniticum subsp. graniticum, Antirrhinum rupestris, Arrhenatherum fernandesii, Biscutella bilbilitana, Centaurea monticola subsp. citricolor, Centaurea pinnata, Coincya leptocarpa, Coincya longirostra, Coincya pseudoerucastrum subsp. pseudoerucastrum, Coincya rupestris, Conopodium bunioides subsp. aranii, Conopodium majus subsp. marizianum, Crepis oporinoides, Dianthus crassipes subsp. crassipes, Dianthus crassipes subsp. sereneanus, Dianthus lusitanus, Digitalis thapsi, Digitalis purpurea subsp. toletana, Erodium mouretti, Erysimum linifolium subsp. lagascae, Festuca duriotagana, Jasione sessiliflora subsp. tomentosa, Scrophularia oxyrhincha, Scrophularia sublyrata, Sedum hirsutum subsp. baeticum, Silene marizii, Silene × montistellensis and Verbascum rotundifolium subsp. castellanum.",459
3314,Regulation of pesticides in the European Union,Summary,"A pesticide, also called Plant Protection Product (PPP), which is a term used in regulatory documents, consists of several different components. The active ingredient in a pesticide is called “active substance” and these active substances either consist of chemicals or micro-organisms. The aims of these active substances are to specifically take action against organisms that are harmful to plants (Art. 2(2), Regulation (EC) No 1107/2009). In other words, active substances are the active components against pests and plant diseases.
In the Regulation (EC) No 1107/2009, a pesticide is defined based on how it is used. Thus, pesticides have to fulfill certain criteria in order to be called pesticides. Among others, the criteria include that they either protect plants against harmful organisms - by killing or in other ways preventing the organism from performing harm, that they enhance the natural ability of plants to defend themselves against these harmful organisms, or that they kill off competing plants such as weeds.
Within the European Union a 2-tiered approach is used for the approval and authorisation of pesticides. Firstly, before an actual pesticide can be developed and put on the European market, the active substance of the pesticide needs to be approved for the European Union. Only after approval of an active substance, a procedure of approval of the Plant Protection Product (PPP) can begin in the individual Member States. In case of approval, there is a monitoring programme to make sure the pesticide residues in food are below the limits set by the European Food Safety Authority (EFSA).
The use of PPPs (i.e. pesticides) in the European Union (EU) is regulated by the Regulation No 1107/2009 on Plant Protection Products in cooperation with other EU Regulations and Directives (e.g. the regulation on maximum residue levels in food (MRL); Regulation (EC) No 396/2005, and the Directive on sustainable use of pesticides; Directive 2009/128/EC).
These regulatory documents are set to ensure safe use of pesticides in the EU regarding human health and environmental sustainability. The responsible authorities within the EU working with pesticide regulation are the European Commission, European Food Safety Authority (EFSA), European Chemical Agency (ECHA); working in cooperation with the EU Member States. Additionally, important stakeholders are the chemical producing companies, which develop PPPs and active substances that are to be evaluated by the regulatory authorities mentioned above. 
Conservative Agriculture Spokesman Anthea McIntyre MEP and colleague Daniel Dalton MEP  were appointed to the European Parliament's special committee on pesticides on the 16th of March 2018. Sitting for nine months, the committee will examine the scientific evaluation of glyphosate, the world's most commonly used weed killer which was relicensed for five years by the EU in December after months of uncertainty. They will also consider wider issues around the authorisation of pesticides.",585
3315,Precision agriculture,Economic and environmental impacts,"Precision agriculture, as the name implies, means application of precise and correct amount of inputs like water, fertilizer, pesticides etc. at the correct time to the crop for increasing its productivity and maximizing its yields. Precision agriculture management practices can significantly reduce the amount of nutrient and other crop inputs used while boosting yields. Farmers thus obtain a return on their investment by saving on water, pesticide, and fertilizer costs.
The second, larger-scale benefit of targeting inputs concerns environmental impacts.  Applying the right amount of chemicals in the right place and at the right time benefits crops, soils and groundwater, and thus the entire crop cycle.  Consequently, precision agriculture has become a cornerstone of sustainable agriculture, since it respects crops, soils and farmers.  Sustainable agriculture seeks to assure a continued supply of food within the ecological, economic and social limits required to sustain production in the long term.
A 2013 article tried to show that precision agriculture can help farmers in developing countries like India.Precision agriculture reduces the pressure by the agriculture on the environment by increasing the efficiency of machinery and putting it into use. For example, the use of remote management devices such as GPS reduces fuel consumption for agriculture, while variable rate application of nutrients or pesticides can potentially reduce the use of these inputs, thereby saving costs and reducing harmful runoff into the waterways.",271
3316,Ford N-series tractor,Ferguson and Ford part ways,"In 1945 due to Henry Ford's failing health, Henry Ford II, his grandson, took over the Ford Motor Company. Since the original agreement between Ford and Ferguson was sealed with a handshake (versus a written contract) and included the notion that either party could terminate it at any time without reason, Henry Ford II didn't feel the need to continue to honor it. Ferguson was furious and sued Ford Motor Company. A few years later his Ferguson interests were merged with Massey Harris, a Canadian company, to become Massey Ferguson.",113
3317,Chicken,Reared for eggs,"Chickens farmed primarily for eggs are called layer hens. In total, the UK alone consumes more than 34 million eggs per day. Some hen breeds can produce over 300 eggs per year, with the highest authenticated rate of egg laying being 371 eggs in 364 days. After 12 months of laying, the commercial hen's egg-laying ability starts to decline to the point where the flock is commercially unviable. Hens, particularly from battery cage systems, are sometimes infirm or have lost a significant amount of their feathers, and their life expectancy has been reduced from around seven years to less than two years.In the UK and Europe, laying hens are then slaughtered and used in processed foods or sold as 'soup hens'. In some other countries, flocks are sometimes force moulted rather than being slaughtered to re-invigorate egg-laying. This involves complete withdrawal of food (and sometimes water) for 7–14 days or sufficiently long to cause a body weight loss of 25 to 35%, or up to 28 days under experimental conditions. This stimulates the hen to lose her feathers but also re-invigorates egg-production. Some flocks may be force-moulted several times. In 2003, more than 75% of all flocks were moulted in the US.",273
3318,Census of agriculture,Portugal,"The first exhaustive, systematic and organized statistical data collection on the agriculture of Portugal took place in 1934, with the ""General inventory of livestock and poultry"", which was later repeated in 1940 and 1972. In Portugal's Mainland, censuses of agriculture (farm surveys) were held in 1952–1954, 1968 and 1979, while in 1965, a census was conducted on agricultural holdings in the adjacent islands (Azores and Madeira). The first General Census on Agriculture was carried out in 1989, exhaustively and simultaneously across all regions of the country, and was harmonized with the EU. This was followed by the General Census of Agriculture carried out in 1999, 2009 and 2019/2020. The 2009 census of agriculture was carried out together with the survey on agricultural production methods (SAPM).",162
3319,Vicia faba,Vietnam,"In Southern Vietnam, fava beans (đậu móng heo) are usually stir fried with rice noodles, durians, shrimps, Thai basil, quail eggs and pig intestines in a dry stew called hủ tiếu lòng heo.",69
3320,Sodium fluoride,Chemical structure,"Sodium fluoride is an inorganic ionic compound, dissolving in water to give separated Na+ and F− ions. Like sodium chloride, it crystallizes in a cubic motif where both Na+ and F− occupy octahedral coordination sites; its lattice spacing, approximately 462 pm, is smaller than that of sodium chloride (564 pm).",75
3321,Stem rust,QCC,"Affects barley.Successfully overwintered in Kansas in 1989/90, and in Texas and Kansas in 1990/91, and so was expected to thereafter be a permanent part of the North American Pg population. Further pathogen adaptation, resulting in widening of the host range, is expected.",64
3322,Combine harvester,Maintaining threshing speed,"Another technology that is sometimes used on combines is a continuously variable transmission. This allows the ground speed of the machine to be varied while maintaining a constant engine and threshing speed. It is desirable to keep the threshing speed constant since the machine will typically have been adjusted to operate best at a certain speed.
Self-propelled combines started with standard manual transmissions that provided one speed based on input rpm.  Deficiencies were noted and in the early 1950s combines were equipped with what John Deere called the ""Variable Speed Drive"". This was simply a variable width sheave controlled by spring and hydraulic pressures. This sheave was attached to the input shaft of the transmission. A standard 4 speed manual transmission was still used in this drive system. The operator would select a gear, typically 3rd. An extra control was provided to the operator to allow him to speed up and slow down the machine within the limits provided by the variable speed drive system.  By decreasing the width of the sheave on the input shaft of the transmission, the belt would ride higher in the groove. This slowed the rotating speed on the input shaft of the transmission, thus slowing the ground speed for that gear.  A clutch was still provided to allow the operator to stop the machine and change transmission gears.
Later, as hydraulic technology improved, hydrostatic transmissions were introduced by Versatile Mfg for use on swathers but later this technology was applied to combines as well. This drive retained the 4 speed manual transmission as before, but this time used a system of hydraulic pumps and motors to drive the input shaft of the transmission.  This system is called a Hydrostatic drive system.  The engine turns the hydraulic pump capable of pressures up to 4,000 psi (30 MPa).  This pressure is then directed to the hydraulic motor that is connected to the input shaft of the transmission.  The operator is provided with a lever in the cab that allows for the control of the hydraulic motor's ability to use the energy provided by the pump.  By adjusting the swash plate in the motor, the stroke of its pistons are changed. If the swash plate is set to neutral, the pistons do not move in their bores and no rotation is allowed, thus the machine does not move.  By moving the lever, the swash plate moves its attached pistons forward, thus allowing them to move within the bore and causing the motor to turn. This provides an infinitely variable speed control from 0 ground speed to what ever the maximum speed is allowed by the gear selection of the transmission.  The standard clutch was removed from this drive system as it was no longer needed.
Most if not all modern combines are equipped with hydrostatic drives.  These are larger versions of the same system used in consumer and commercial lawn mowers that most are familiar with today.  In fact, it was the downsizing of the combine drive system that placed these drive systems into mowers and other machines.",609
3323,Soil solarization,Summary,"Soil solarization is a non-chemical environmentally friendly method for controlling pests using solar power to increase the soil temperature to levels at which many soil-borne plant pathogens will be killed or greatly weakened. Soil solarization is used in warm climates on a relatively small scale in gardens and organic farms. Soil solarization weakens and kills fungi, bacteria, nematodes, and insect and mite pests along with weeds in the soil by mulching the soil and covering it with a tarp, usually with a transparent polyethylene cover to trap solar energy. This energy causes physical, chemical, and biological changes in the soil community. Soil solarization is dependent upon time, temperature, and soil moisture. It may also be described as methods of decontaminating soil or creating suppressive soils by the use of sunlight.",172
3324,Precision agriculture,Usage around the world,"The concept of precision agriculture first emerged in the United States in the early 1980s. In 1985, researchers at the University of Minnesota varied lime inputs in crop fields. It was also at this time that the practice of grid sampling appeared (applying a fixed grid of one sample per hectare). Towards the end of the 1980s, this technique was used to derive the first input recommendation maps for fertilizers and pH corrections. The use of yield sensors developed from new technologies, combined with the advent of GPS receivers, has been gaining ground ever since. Today, such systems cover several million hectares.
In the American Midwest (US), it is associated not with sustainable agriculture but with mainstream farmers who are trying to maximize profits by spending money only in areas that require fertilizer. This practice allows the farmer to vary the rate of fertilizer across the field according to the need identified by GPS guided Grid or Zone Sampling. Fertilizer that would have been spread in areas that don't need it can be placed in areas that do, thereby optimizing its use.
Around the world, precision agriculture developed at a varying pace. Precursor nations were the United States, Canada and Australia. In Europe, the United Kingdom was the first to go down this path, followed closely by France, where it first appeared in 1997–1998. In Latin America the leading country is Argentina, where it was introduced in the middle 1990s with the support of the National Agricultural Technology Institute. Brazil established a state-owned enterprise, Embrapa, to research and develop sustainable agriculture. The development of GPS and variable-rate spreading techniques helped to anchor precision farming management practices. Today, less than 10% of France's farmers are equipped with variable-rate systems. Uptake of GPS is more widespread, but this hasn't stopped them using precision agriculture services, which supplies field-level recommendation maps.While digital technologies can transform the landscape of agricultural machinery, making mechanization both more precise and more accessible, non-mechanized production is still dominant in many low- and middle-income countries, especially in sub-Saharan Africa. Research on precision agriculture for non-mechanized production is increasing and so is its adoption. Examples include the AgroCares hand-held soil scanner, uncrewed aerial vehicle (UAV) services (also known as drones), and GNSS to map field boundaries and establish land tenure. However, it is not clear how many agricultural producers actually use digital technologies.Precision livestock farming supports farmers in real-time by continuously monitoring and controlling animal productivity, environmental impacts, and health and welfare parameters. Sensors attached to animals or to barn equipment operate climate control and monitor animals’ health status, movement and needs. For example, cows can be tagged with the electronic identification (EID) that allows a milking robot to access a database of udder coordinates for specific cows. Global automatic milking system sales have increased over recent years, but adoption is likely mostly in Northern Europe, and likely almost absent in low- and middle-income countries. Automated feeding machines for both cows and poultry also exist, but data and evidence regarding their adoption trends and drivers is likewise scarce.The economic and environmental benefits of precision agriculture have also been confirmed in China, but China is lagging behind countries such as Europe and the United States because the Chinese agricultural system is characterized by small-scale family-run farms, which makes the adoption rate of precision agriculture lower than other countries. Therefore, China is trying to better introduce precision agriculture technology into its own country and reduce some risks, paving the way for China's technology to develop precision agriculture in the future.",741
3325,List of GoBots characters,Herr Fiend,"Herr Fiend is the name of a fictional character from the various Gobots series. He is an evil Renegade scientist and also known as Doctor Go.Herr Fiend is one of the Renegades. He is the resident Renegade mad scientist, and is depicted as speaking with a thick German accent.His alternate mode of a Porsche 928 is identical to the Decepticon Transformers named Dead End.",86
3326,Food and Agriculture Organization,Sub-regional Offices,"Sub-regional Office for Central Africa (SFC), in Libreville, Gabon
Sub-regional Office for Central Asia, in Ankara, Turkey
Sub-regional Office for Eastern Africa (SFE), in Addis Ababa, Ethiopia
Sub-regional Office for Mesoamerica (SLM), in Panama City, Panama
Sub-regional Office for North Africa, in Tunis, Tunisia
Sub-regional Office for Southern Africa and East Africa, in Harare, Zimbabwe
Sub-regional Office for the Caribbean, in Bridgetown, Barbados
Sub-regional Office for the Gulf Cooperation Council States and Yemen, in Abu Dhabi, United Arab Emirates
Sub-regional Office for the Pacific Islands, in Apia, Samoa",162
3327,List of mustard brands,S,"Stadium Mustard is the trademarked name of a mildly spicy brown mustard served in stadiums and arenas throughout the United States. Manufactured in Illinois since 1890.
Silver Spring Foods is a family run business started in 1929. While they are the largest grower and producer of horseradish, they have an extensive specialty mustard line.",70
3328,Pea,Field peas,"The field pea is a type of pea sometimes called P. sativum subsp. arvense (L.) Asch.  It is also known as dun (grey-brown) pea, Kapucijner pea, or Austrian winter pea, and is one of the oldest domesticated crops, cultivated for at least 7,000 years.  Field peas are now grown in many countries for both human consumption and stockfeed.  There are several cultivars and colors including blue, dun (brown), maple and white. This pea should not be confused with the cowpea (Vigna unguiculata) which is sometimes called the ""field pea"" in warmer climates.It is a climbing annual legume with weak, viny, and relatively succulent stems. Vines often are 4 to 5 feet (120 to 150 cm) long, but when grown alone, field pea's weak stems prevent it from growing more than 1.5 to 2 feet (45 to 60 cm) tall. Leaves have two leaflets and a tendril. Flowers are white, pink, or purple. Pods carry seeds that are large (4,000 seeds/lb), nearly spherical, and white, gray, green, or brown. The root system is relatively shallow and small, but well nodulated.The field pea is a cool-season legume crop that is grown on over 25 million acres worldwide. It has been an important grain legume crop for millennia, seeds showing domesticated characteristics dating from at least 7000 years ago have been found in archaeological sites around what is now Turkey.  Field peas or ""dry peas"" are marketed as a dry, shelled product for either human or livestock food, unlike the garden pea, which is marketed as a fresh or canned vegetable. The major producing countries of field peas are Russia and China, followed by Canada, Europe, Australia and the United States. Europe, Australia, Canada and the United States raise over 4.5 million acres and are major exporters of peas. In 2002, there were approximately 300,000 acres of field peas grown in the United States.",442
3329,Copper in biology,Summary,"Copper is an essential trace element that is vital to the health of all living things (plants, animals and microorganisms). In humans, copper is essential to the proper functioning of organs and metabolic processes. The human body has complex homeostatic mechanisms which attempt to ensure a constant supply of available copper, while eliminating excess copper whenever this occurs. However, like all essential elements and nutrients, too much or too little nutritional ingestion of copper can result in a corresponding condition of copper excess or deficiency in the body, each of which has its own unique set of adverse health effects.
Daily dietary standards for copper have been set by various health agencies around the world. Standards adopted by some nations recommend different copper intake levels for adults, pregnant women, infants, and children, corresponding to the varying need for copper during different stages of life.",171
3330,International Harvester,Agriculture Division,"The International Harvester Agricultural Division may have been second to the Truck Division but it was the best-known subsidiary. One of its early products was the Traction Truck, a frame manufactured by Morton Traction Truck Company (later bought by IHC) featuring an IHC engine.

From 1902 to the early 1920s, the McCormick and Deering dealerships kept their original branding with Mogul tractors sold by McCormick and Titan tractors at Deering due to the still-present competitiveness of the former rivals.",110
3331,Pistachio,Consumption,"The kernels are often eaten whole, either fresh or roasted and salted, and are also used in pistachio ice cream, kulfi, spumoni, pistachio butter, pistachio paste, and confections such as baklava, pistachio chocolate, pistachio halva, pistachio lokum or biscotti, and cold cuts such as mortadella. Americans make pistachio salad, which includes fresh pistachios or pistachio pudding, whipped cream, and canned fruit.The shell of the pistachio is naturally a beige color, but it may be dyed red or green in commercial pistachios. Originally, dye was applied to hide stains on the shells caused when the nuts were picked by hand. In the 21st century, most pistachios are harvested by machine and the shells remain unstained.",183
3332,Eucalyptus,Non-native Eucalyptus and biodiversity,"Due to similar favourable climatic conditions, Eucalyptus plantations have often replaced oak woodlands, for example in California, Spain and Portugal. The resulting monocultures have raised concerns about loss of biological diversity, through loss of acorns that mammals and birds feed on, absence of hollows that in oak trees provide shelter and nesting sites for birds and small mammals and for bee colonies, as well as lack of downed trees in managed plantations. A study of the relationship between birds and Eucalyptus in the San Francisco Bay Area found that bird diversity was similar in native forest versus Eucalyptus forest, but the species were different. One way in which the avifauna (local assortment of bird species) changes is that cavity-nesting birds including woodpeckers, owls, chickadees, wood ducks, etc. are depauperate in Eucalyptus groves because the decay-resistant wood of these trees prevents cavity formation by decay or excavation. Also, those bird species that glean insects from foliage, such as warblers and vireos, experience population declines when Eucalyptus groves replace oak forest.
Birds that thrive in Eucalyptus groves in California tend to prefer tall vertical habitat. These avian species include herons and egrets, which also nest in redwoods. The Point Reyes Bird Observatory observes that sometimes short-billed birds like the ruby-crowned kinglet are found dead beneath Eucalyptus trees with their nostrils clogged with pitch.Monarch butterflies use Eucalyptus in California for over-wintering, but in some locations have a preference for Monterey pines.",358
3333,Sesame allergy,Diagnosis,"Diagnosis is usually based on a medical history, elimination diet, skin prick test, blood tests for food-specific IgE antibodies, or oral food challenge. However, skin prick tests sometimes give false negatives due to the lack of oleosin proteins in standardized sesame extracts. Freshly ground sesame seeds can thereby be preferable for skin prick tests. Confirmation is by double-blind, placebo-controlled food challenges, which remains the diagnostic gold standard for sesame allergy. Self-reported sesame allergy often fails to be confirmed by food challenge.",116
3334,Organic certification,International food standards,"The body Codex Alimentarius of the Food and Agriculture Organization of the United Nations was established in November 1961. The Commission's main goals are to protect the health of consumers and ensure fair practices in the international food trade. The Codex Alimentarius is recognized by the World Trade Organization as an international reference point for the resolution of disputes concerning food safety and consumer protection. One of their goals is to provide proper food labelling (general standard, guidelines on nutrition labelling, guidelines on labelling claims).",104
3335,Pesticide regulation in the United States,Worker protection standard,"EPA registers pesticides and insecticides as either unclassified or restricted use pesticide (RUP). Unclassified pesticide is available over-the-counter. This licensing program exists in cooperation with USDA and state regulatory agencies.Two items are required by law for all registered pesticides and insecticides.
Product Label
Material Safety Data SheetThe product label describes how to use the product.The Material Safety Data Sheet provides specific safety and hazard information, and this must be provided to physicians in the event that the product has been mis-used so that appropriate diagnostic testing and treatment can be obtained in a timely manner.RUP requires license for purchase. The process required to obtain a pest control licenses is regulated by a combination of state laws, federal laws, common law, and private company policies.All RUP applications must be recorded to identify the date, location, and type of pesticide applied. Federal law requires a minimum record retention period, which require 24 months of records to be maintained except when extended to a longer period by state laws.There are two categories of RUP user in most areas: supervisor and applicator. A pest control supervisor license is required to purchase RUP and keep records. The pest control supervisor must ensure pest control applicators are competent to use any restricted use products. These requirements vary according to state and local law, where California has the most restrictive laws.Further information can be obtained from the following organizations.

AAPCO—Assoc. of American Pesticide Control Officials
AAPSE—American Assoc. of Pesticide Safety Educators
CTAG—Certification and Training Assessment Group
CPARD—Certification Plan & Reporting Database
POINTS—Pesticide of Interest Reporting Database
NASDA Pesticide Safety Programs
Division of Toxicology and Environmental Medicine; Agency for Toxic Substances and Disease Registry
National Toxicology Program40 CFR Part 170 requires the following in the United States.
Pesticide safety training
Notification of pesticide applications
Use of personal protective equipment
Restricted entry intervals following pesticide application
Decontamination supplies
Emergency medical assistance",429
3336,Intravenous iron infusion,Administration,"Intravenous therapy is a type of parenteral medication. IV iron infusion is a method of delivering a mixed solution of iron and saline from a drip through a needle directly into the vein and bloodstream. The procedure takes place in a medical clinic and may take several hours depending on the iron preparation that has been prescribed. The patient will receive infusions over the course of several visits until iron stores have been fully replenished. 
Patients temperature, blood pressure, pulse and breathing rate are monitored constantly for signs of immediate hypersensitivity during and thirty minutes after treatment. Adverse reactions can be reduced further by premedication, antihistamines and test dosages. Blood tests are taken two to four weeks post treatment, to assess if iron stores have been successfully replenished.",161
