,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
10,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM kisan samman nidhi scheme,"Suggested to wait for 12 th installment, it will be released soon.
",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-03T15:12:17.937
11,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact PM Kisan Nodal Office
Ph: 0471 - 2304022, 0471-2964022
",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-03T15:13:39.023
12,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about organic manure application for coconut,"Suggested to apply 25 kg organic manure ( include well rotten cowdung or compost and 2-3 kg neem cake ) along with chemical fertilizers.
Apply 50 kg organic manure if organic cultivation is practiced.",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-03T16:33:28.517
13,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM kisan samman nidhi scheme,"Suggested to wait for further installments
",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-03T16:52:54.583
14,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact State Bank of India
Farmer Name: DINESAN K P
Registration Status: Registration done ( KL213019293 )
Payment Status: 11th installment payment done				
Bank Name: STATE BANK OF INDIA				
Credited Account: ********3076				
Credit Date: 31/05/2022				
UTR No: ********6907",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-04T16:57:42.277
15,NA,HORTICULTURE,Fruits,Banana,Crop Insurance,"Asked about Pradhan Mantri Fasal Bima Yojana (Premium to be paid for banana)
","Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
For 0.16 ha banana the premium for Pradhan Mantri Fasal Bima Yojana is 1140  for an insured sum of 48000.",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-05T09:43:39.187
16,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana (PMFBY) scheme provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crop as a result of natural calamities, pests and diseases.
Apply online through  CSC or Akshaya centre.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-05T12:42:11.4
17,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested to contact Assistant Director of Agriculture (ADA) Kunnamangalam/Mukkam - 9383471855, 0495-2801162",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-05T15:05:28.397
18,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana ,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the season(as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,KOZHIKODE,2022-09-05T15:12:16.93
19,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan account status,Suggested to check with Krishibhavan if land tax document of 2018-2019 is uploaded to the application,KERALA,KOZHIKODE,BALUSSERI,2022-09-06T11:34:41.33
20,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan payment status,Suggested to wait for next installment,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-06T16:40:57.693
21,NA,HORTICULTURE,Plantation Crops,Rubber,Seeds and Planting Material,Asked about varieties of rubber,"Suggested that

PB 260: Released from Prang Besar Estate, Malaysia. Parentage Tjir 1 x Gl 1A high yielding clone having good secondary characters.  On farm evaluation(1631 kg/ha/yr)

RRII 105: Released from Rubber Research Institute of India. Parentage Tjir 1 x Gl 1. Clone coming under Category I. Drought tolerant. Good branching with strong union. The highest yielding clone showing stability in yield. TPD On farm evaluation(2210 kg/ha/yr)

RRII 414: Released from Rubber Research Institute of India. Parentage RRII 105 X RRIC 100. Clone coming under Category 1. A high yielding clone with vigorous growth and early tappability. Wood yield in terms of bole volume is high. Incidence of pink disease and abnormal leaf fall are moderate while the clone is relatively tolerant to Corynespora

RRII 417: Released from Rubber Research Institute of India. Parentage RRII 105 x RRIC 100. Clone coming under Category I. A vigorous and high yielding clone with above average tolerance to wind. Quality of wood is good in terms of high density and better processability. Incidence of abnormal leaf fall is low to moderate. Moderately susceptible to Corynespora.

RRII 422: Released from Rubber Research Institute of India. Parentage RRII 105 X RRIC 100. Clone coming under Category I. A clone with vigorous growth and high yield. Incidence of Pink disease is low. Trees are slightly short in stature with high leaf retention in immature phase.

RRII 430: Released from Rubber Research Institute of India. Parentage RRII 105 x RRIC 100. Clone coming under Category I. A high yielding and drought tolerant clone. This clone is vigorous in growth leading to early tappability. Incidence of abnormal leaf fall, pink disease and Corynespora leaf disease are low.
Contact  RRII, phone, 0481 235 3311",KERALA,KOZHIKODE,KOZHIKODE,2022-09-07T16:56:46.403
22,NA,AGRICULTURE,Others,Others,Government Schemes,"PM Kisan Samman Nidhi Scheme status
","Payment status: Upto 11 th installment payment done.Wait for the process of next installment
",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-09T12:46:50.46
23,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the season (as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,KOZHIKODE,2022-09-09T15:25:15.75
24,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme

","Suggested that
Payment Status:	11th installment payment done				
Bank Name:	KERALA GRAMIN BANK				
Credited Account:	********1256				
Credit Date:	31/05/2022
Wait for further installments",KERALA,KOZHIKODE,KOZHIKODE,2022-09-09T15:27:52.433
25,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. 
Start of enrolment of farmers for the rabi season (as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.

",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-10T11:47:34.773
26,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,"Asked about contact number of Farmers training centre, Kozhikode","Suggested to contact Farmers training centre, Kozhikode, Ph: 0495 2373582 ",KERALA,KOZHIKODE,KOZHIKODE,2022-09-10T12:59:55.873
27,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to Pradhan Mantri Fasal Bima Yojana 
","Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book.  Start of enrolment of farmers for the rabi season (as per crop calendar) is from 1st October. For more details contact Agriculture insurance company of India - 1800 425 7064.
",KERALA,KOZHIKODE,CHELANNUR,2022-09-10T13:10:29.733
28,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested that
Payment Status: 7nth installment payment done 		
Bank Name:	STATE BANK OF INDIA
Credited Account:	********6341
Credit Date: 31/05/2022
Payment Status:Waiting for approval by state
",KERALA,KOZHIKODE,BALUSSERI,2022-09-10T13:23:08.44
29,NA,AGRICULTURE,Others,Others,Government Schemes,Asking about PM kisan samman nidhi yojana scheme information ,Query: Asking about PM kisan samman nidhi yojana scheme information .Answer: Recommended to contact block agriculture office ,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-10T15:26:17.707
30,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to wait for next installment
Farmer Name: VENUGOPAL
Registration Status: Registration done ( KL157156990 )
Registration Date: 01/03/2019
Aadhaar Status: Aadhar Number is Verified
Payment Status: 11th installment payment done				
Bank Name: STATE BANK OF INDIA				
Credited Account: ********8145				
Credit Date: 31/05/2022				
UTR No: ********8157	",KERALA,KOZHIKODE,THUNERI,2022-09-10T15:27:43.91
31,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to contact nearby krishibhavan,KERALA,KOZHIKODE,PERAMBRA,2022-09-10T15:28:30.743
32,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan payment status,Responded that payment was credited on 31/05/2022,KERALA,KOZHIKODE,KUNNUMMAL,2022-09-10T15:30:51.627
33,NA,AGRICULTURE,Others,Others,Cultural Practices,Asked about non-flowering in 4 year old Rambootan plant,Suggested to withhold irrigation until end of March to induce flowering in Rambootan,KERALA,KOZHIKODE,KOZHIKODE,2022-09-10T16:52:28.477
34,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PMFBY scheme crops involved,Responded to call in october for the list of crops,KERALA,KOZHIKODE,THODANNUR,2022-09-12T11:15:31.797
35,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to contact ADA Perambra, Ph: 9383471865, 0496-2615570",KERALA,KOZHIKODE,BALUSSERI,2022-09-12T14:48:57.027
36,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about organic manure application in coconut ( bioboost organic manure for coconut),Suggested to apply 25 kg organic manure along with chemical fertilizers. For dose of bio boost organic contact the company.,KERALA,KOZHIKODE,VADAKARA,2022-09-12T16:59:25.357
37,NA,AGRICULTURE,Others,Others,Market Information,Asked about GST for copra,Suggested that copra have 5 % GST,KERALA,KOZHIKODE,MELDAY,2022-09-12T17:01:38.94
38,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about nutrient management in mangosteen,"Suggested to apply 1 kg urea, 2 kg rajphos and 2.5 kg potash per plant in May- June. Apply the same dose in Sept- Oct.
Apply 1 kg lime per plant 2 weeks before fertilizer application. Apply 75 kg organic manure per plant in a year.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-14T10:36:32.483
39,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to wait for next installment
Farmer Name: DHANANAND P M
Registration Status: Registration done ( KL273819793 )
Registration Date: 22/04/2020
PFMS / Bank Status: Account detail is under revalidation process with bank
Payment Status: 6th installment payment done
Bank Name: CANARA BANK
Credited Account: ********7520
Credit Date: 02/01/2022",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-14T12:28:05.69
40,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme
","Suggested that
PFMS / Bank Status: Account detail is under revalidation process with bank
Wait for 7 th installment.",KERALA,KOZHIKODE,PANTHALAYANI,2022-09-14T13:59:48.617
41,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN scheme,"Suggested that 
Payment status:  Waiting for approval by state for 8th Installment",KERALA,KOZHIKODE,BALUSSERI,2022-09-14T15:09:41.953
42,NA,HORTICULTURE,Fruits,Mango,Nutrient Management,Asked about nutrient management in Mango,"It is suggested to apply  in Aug-September and the dosage is 542 gram urea, 999 gram rock phosphate, 626 gram Muriate of Potash respectively per plant. Lime or dolomite has to be applied in acid soils two weeks ahead of fertilizer application. Organic manure @ 75 kg/plant is recommended every year.
",KERALA,KOZHIKODE,0   ,2022-09-14T16:58:10.11
43,NA,HORTICULTURE,Fruits,Mango,Nutrient Management,Induction of flowering and improvement of yield in adult mango tree,"Dilute Cultar 10ml per 10L of water and drench soil at about 60cm away from tree trunk, soil shoud be wet at the time of application",KERALA,KOZHIKODE,0   ,2022-09-14T17:00:18.907
44,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,Asked about cultivation of vetiver.,"Suggested to contact Aromatic & Medicinal Plants Research Station, Odakkali, Asamannoor P.O., Ernakulam District Kerala 683549. Phone No: 0484-2658221
Sales center, Ph: 9447163891",KERALA,KOZHIKODE,KOZHIKODE,2022-09-16T14:05:27.893
45,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan payment status,"Suggested to wait until 31st January 2023 and if amount is not credited by then, call back later",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-16T15:04:16.657
46,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan account related details,Responded that details are not available in the said numbers and visit Akshaya centre to check details,KERALA,KOZHIKODE,BALUSSERI,2022-09-16T15:05:42.363
47,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that 11th installment was credited on 31/05/2022. Wait for 12th installment till release.
Farmer Name: SAROJINI N P
Registration Status: Registration done ( KL211816812 )
Active/InActive: Active
Payment Status: 11th installment payment done				
Bank Name: KERALA GRAMIN BANK				
Credited Account: ********5142				
Credit Date: 31/05/2022				
UTR No: ********4272",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-16T15:54:04.317
48,NA,HORTICULTURE,Plantation Crops,Coconut,Nutrient Management,Asked about second dose of fertilizer for coconut,"Responded that the second dose has to be applied in September-October and the dosage is 180 gram Urea, 750 gram Factomphos and 1 kilogram Muriate of Potash.
",KERALA,KOZHIKODE,BALUSSERI,2022-09-17T09:35:13.127
49,NA,HORTICULTURE,Fruits,Papaya,	Plant Protection	,Asked about no fruit setting in papaya plant,Suggested that the papaya plants are dioecious. Male and female flowers are present on different plants. The not fruit setting papaya may be male one. Confirm it by contacting nearby krishibhavan.,KERALA,KOZHIKODE,PANTHALAYANI,2022-09-17T11:21:08.08
50,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN scheme
","Suggested that
Payment Status:	10th installment payment done
Bank Name:	UNION BANK OF INDIA
Credited Account: ********2160	
Credit Date: 31/05/2022
Wait for further installments",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-18T11:30:55.633
51,NA,HORTICULTURE,Fruits,Banana,Seeds and Planting Material,Asked about emergence of seedling from banana bunch,Suggested to inform nearby Krishibhavn,KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-18T15:56:20.113
52,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to call back later as the website for checking PM Kisan Samman Nidhi details is under maintenance
",KERALA,KOZHIKODE,BALUSSERI,2022-09-19T09:40:49.783
53,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN
","Suggested that PM KISAN official page is under maintenance. It will be made available soon. call later
",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-19T11:29:51.84
54,NA,HORTICULTURE,Plantation Crops,Cashew,	Plant Protection	,Asked about management of cashew stem and root borer ,"Recommended to mechanically remove various stages of pest (grubs and pupae) by carefully chiseling the bark in the infected trees.
Swab the chiseled area with Chlorpyrifos 20 EC (10 ml/litre of water) and drench Chlorpyriphos 20 EC (2 ml/litre of water) solution into the soil near the root zone to minimize reinfestation by the pest.
Swab the trunk region (up to 1 m height from the ground level) and exposed roots, with a suspension of coal tar and kerosene (1:2 ratio) or neem oil (50 ml/litre of water) twice a year during March - April and November-December as prophylatic measure.",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T13:04:20.83
55,NA,HORTICULTURE,Fruits,Avacado,Seeds and Planting Material,Asked about budding in avocado,"Suggested to contact KVK kozhikode, Ph: 0496 266 6041",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T13:17:38.41
56,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to call back later as the website for checking PM Kisan Samman Nidhi details is under maintenance,KERALA,KOZHIKODE,BALUSSERI,2022-09-19T13:25:47.033
57,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for mangosteen,"Suggested to apply lime at 1 Kg per plant per year at two weeks ahead of fertilizer application. Apply farm yard manure at 75 Kg per plant per year. Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year.",KERALA,KOZHIKODE,KODUVALLY,2022-09-19T14:38:58.383
58,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN,"Suggested that PM KISAN official page is temporarily unavailable. Call later.

",KERALA,KOZHIKODE,BALUSSERI,2022-09-19T15:36:49.037
59,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about query related to PM KISAN samman nidhi scheme
","Recommended to do land verification through AIMS (https://www.aims.kerala.gov.in/) portal from Akshaya center or CSC. Details needed: Aadhar number, account number, phone number, tax receipt of land. After verification, submit details in Krishi bhavan
For more details visit https: //keralaagriculture.gov.in/pmkisan-2/
  User manual -  https://keralaagriculture.gov.in/wp-content/uploads/2022/04/PMKISAN-LV.pdf

eKYC is MANDATORY for PMKISAN Registered Farmers. OTP Based eKYC is available on PMKISAN Portal.
Contact Akshaya centre or nearest CSC centres may be contacted for Biometric based eKYC.
Deadline of eKYC for all the PMKISAN beneficiaries has been extended till 31st July 2022.
 
",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-19T16:45:22.033
60,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Farmer Name: Khatheeja K P
Active/InActive: Active
Registration Status: Registration done ( KL282815295 )
Payment Status: 6th installment payment done	
Credited Account: ********0482	
Credit Date: 31/05/2022	
UTR No: ********8185	",KERALA,KOZHIKODE,KODUVALLY,2022-09-20T14:10:40.427
61,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to call later for checking beneficiary status,KERALA,KOZHIKODE,BALUSSERI,2022-09-20T14:27:13.473
62,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested to wait for next installment till release
Farmer Name: DINESAN K P
Registration Status: Registration done ( KL213019293 )
Active/InActive: Active
Payment Status: 11th installment payment done				
Bank Name: STATE BANK OF INDIA				
Credited Account: ********3076				
Credit Date: 31/05/2022				
UTR No: ********6907",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-20T15:16:11.233
63,NA,AGRICULTURE,Others,Others,	Plant Protection	,Asked about management of flower dropping in mangosteen,"Suggested to apply lime at 1 Kg per plant per year at two weeks ahead of fertilizer application. Apply farm yard manure at 75 Kg per plant per year. Apply 2.1 Kg Urea, 4 Kg Rajphos and 5 Kg Potash per plant per year.
Apply borax at 100g per plant.",KERALA,KOZHIKODE,THUNERI,2022-09-20T15:24:44.673
64,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that 11th installment was credited in Kerala Gramin Bank on  31/05/2022
Farmer Name: KUMARAN
Registration Status: Registration done ( KL145638311 )
Active/InActive: Active
Payment Status: 11th installment payment done				
Bank Name: KERALA GRAMIN BANK				
Credited Account: ********1001				
Credit Date: 31/05/2022				
UTR No: ********6619",KERALA,KOZHIKODE,KUNNUMMAL,2022-09-20T15:46:20.613
65,NA,HORTICULTURE,Plantation Crops,Coconut,	Plant Protection	,Asked about management of bud rot disease in coconut,"Recommended to clean the crown before monsoon and apply Bordeaux paste. Cover the applied part with a mud pot inverted to avoid contact with water. Spray Bordeaux mixture (1%) on the crown of the neighbouring palms as a prophylatic measure.
Burn all diseased tissues removed from the palm. Pouring Mancozeb solution (5 gram /300 ml of water) coupled with placing of small perforated sachets (2 no) containing 3-4 gram Mancozeb 75 WP in the inner most leaf axils is found to be effective. 
As a prophylactic measure, formulations of biocontrol agents like Trichoderma harzianum and Pseudomonas flourescens can also be applied on the crown.",KERALA,KOZHIKODE,KODUVALLY,2022-09-20T16:44:46.3
66,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.Suggested that last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-21T09:47:58.853
67,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases. PMFBY can be enrolled  through CSCs or Akshaya centre. Documents required are phone number, Aadhaar number, land possession certificate, land right document, sowing certificate or self declaration of intent to sow the proposed crop, and the copy of Bank Pass Book. Suggested that last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022.
",KERALA,KOZHIKODE,KODUVALLY,2022-09-21T10:17:20.95
68,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM KISAN SAMMAN NIDHI SCHEME,"Suggested that			
Payment Status:	11th installment payment done				
Bank Name:	KERALA GRAMIN BANK				
Credited Account:	********4742				
Credit Date:	31/05/2022				
Wait for further installments.",KERALA,KOZHIKODE,THUNERI,2022-09-21T12:01:29.96
69,NA,AGRICULTURE,Others,Others,Crop Insurance,Asked about query related to Pradhan Mantri Fasal Bima Yojana,"Suggested that Pradhan Mantri Fasal Bima Yojana is a cental sector scheme that provide insurance coverage and financial support to the farmers in the event of failure of any of the notified crops as a result of natural calamities, pests and diseases.
Last date for registering kharif season under Pradhan Mantri Fasal Bima Yojana Scheme was 1st August 2022. Registration for rabi season will start onoctober 2022.",KERALA,KOZHIKODE,KUNNAMANGALAM,2022-09-21T12:21:58.057
70,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,Suggested to contact Krishibhavan,KERALA,KOZHIKODE,BALUSSERI,2022-09-21T12:39:52.677
71,NA,AGRICULTURE,Others,Others,Nutrient Management,Asked about doses of fertilizer for 2 months old rambutan plant,Suggested to apply oragnic manure at the time of planting. Application of next doses of fertilizer should be in one year after planting.,KERALA,KOZHIKODE,KOZHIKODE,2022-09-21T15:27:09.19
72,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about query related to PM KISAN,Suggested to contact krishi bhavan,KERALA,KOZHIKODE,BALUSSERI,2022-09-21T15:27:41.717
73,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Asked about management of chilli leaf curl disease,Suggested to spray neem oil garlic emulsion (20ml neem oil + 20g garlic + 5g bar soap + 1 litre water) or spray azadirachtin @ 5 ml per litre water or spray Verticillium @ 20g per litre water.,KERALA,KOZHIKODE,KOZHIKODE,2022-09-22T10:26:54.323
74,NA,AGRICULTURE,Others,Others,Government Schemes,Asked about PM Kisan Samman Nidhi,"Suggested that 6th installment was credited in Kerala Gramin Bank on 31/05/2022
Farmer Name: Reena
Registration Status: Registration done ( KL286504069 )
Registration Date: 20/10/2020
Active/InActive: Active	
Payment Mode: AADHAAR
Payment Status: 6th installment payment done	
Bank Name: KERALA GRAMIN BANK	
Credited Account: ********0356	
Credit Date: 31/05/2022	
UTR No: ********3903",KERALA,KOZHIKODE,THODANNUR,2022-09-22T11:41:45.497
