,title,heading,content,tokens
10,Tamarind,Woodworking,"Tamarind wood is used to make furniture, boats (as per Rumphius) carvings, turned objects such as mortars and pestles, chopping blocks, and other small specialty wood items like krises. Tamarind heartwood is reddish brown, sometimes with a purplish hue. The heartwood in tamarind tends to be narrow and is usually only present in older and larger trees. The pale yellow sapwood is sharply demarcated from the heartwood. Heartwood is said to be durable to very durable in decay resistance, and is also resistant to insects. Its sapwood is not durable and is prone to attack by insects and fungi as well as spalting. Due to its density and interlocked grain, tamarind is considered difficult to work. Heartwood has a pronounced blunting effect on cutting edges. Tamarind turns, glues, and finishes well. The heartwood is able to take a high natural polish.",201
11,Garden Organic,History,"The Henry Doubleday Research Association was founded in 1954 to research and promote organic gardening, farming, and food. The charity adopted the working name ""Garden Organic"" in 2005 and is now the UK’s leading organic growing charity. ""Henry Doubleday Research Association"" remains the legal name under which it is registered as a charity. Its ground demonstrate organic lawn management.It was founded by horticulturist and freelance journalist Lawrence D. Hills and named after Henry Doubleday, an Essex-based Quaker smallholder who had a particular interest in the properties of comfrey. The organisation was first based at Bocking near Braintree in Essex, hence the name of Bocking 14, a variety of comfrey bred by Hills for its useful properties. A sister organisation was also formed in Australia, the Henry Doubleday Research Association of Australia Inc.
Jackie and Alan Gear took over management of the charity in 1976, and in 1985 the organisation relocated to its present 22-acre (89,000 m2) headquarters site, Ryton Organic Gardens, at Ryton-on-Dunsmore near Coventry in the West Midlands. The Gears retired in 2004, when Dr. Susan Kay-Williams became the chief executive and the charity changed its working name to Garden Organic. Kay-Williams left in the summer of 2007 and the charity appointed Myles Bremner, former director of fundraising at children's charity NCH. Bremner left in the summer of 2013 and was replaced by James Campbell, former acting chief development officer of the Earthwatch Institute.
In the autumn of 2017 Garden Organic announced that it was considering options for the future of its Ryton site, with full or partial sale among the possibilities. Some members expressed concern over the way the charity was handling the issue. In September 2019, Coventry University, whose Centre for Agroecology, Water and Resilience is located on the Ryton site, purchased it. Garden Organic will remain at Ryton Gardens as a tenant.",414
12,Hill farming,Single Farm Payment,"The Single Farm Payment replaced the older headage payments (CAP) in 2005. Analyses of the effects of economic incentives provided to hill farmers by decoupling and the introduction of the Single Farm Payment show that although these policies cause little change in average farm incomes they do encourage change in the way hill farms run. Specifically the policies promote the reduction of stocking densities, reduction of employment of additional farm labour, movement away from reliance on beef cattle, increased specialization, and to keep farming land in “good agricultural condition” rather than farm abandonment.  The EU plans to phase out and progressively reduce the SFP, and the SFP is guaranteed until 2013.",138
13,Cultivation of tobacco,Child labor,"The International Labour Office reported that the most child-laborers work in agriculture, which is one of the most hazardous types of work. The tobacco industry houses some of these working children. There is widespread use of children on farms in the United States, Argentina, Brazil, China, India, Indonesia, Malawi and Zimbabwe. While some of these children work with their families on small family-owned farms, others work on large plantations.
In late 2009 reports were released by the London-based human-rights group Plan International, claiming that child labor was common on Malawi (producer of 1.8% of the world's tobacco) tobacco farms. The organization interviewed 44 teens, who worked full-time on farms during the 2007-2008 growing season. The child-laborers complained of low pay, long hours as well as physical and sexual abuse by their supervisors. They also reported suffering from green tobacco sickness, a form of nicotine poisoning. When wet leaves are handled, nicotine from the leaves gets absorbed in the skin and causes nausea, vomiting and dizziness. Children were exposed to 50-cigarettes worth of nicotine through direct contact with tobacco leaves. This level of nicotine in children can permanently alter brain structure and function.In 2014, Human Rights Watch released a report detailing child labor on U.S. tobacco farms. The report states 73% of the children they interviewed reported getting sick with nausea, headaches, respiratory illnesses, and skin conditions, while 66% reported symptoms consistent with acute nicotine poisoning. The report states most children they interviewed worked between 10 and 12 hours per day and some children reported earning less than minimum wage with deductions by the contractor or grower for drinking water or for reasons that were not explained to them.In United States children were found to be working for twelve hours in Tobacco Fields.Families that farm tobacco often have to make the difficult decision between having their children work or go to school. Unfortunately working often beats education because tobacco farmers, especially in the developing world, cannot make enough money from their crop to survive without the cheap labor that children provide.
In December 2022, the UN special report showed that 3000 children were working in Malawi’s tobacco industry, despite last years’ abolition of an employment system accused of fostering child labor in the tobacco industry. The government of Malawi was implementing programs aimed at ending child labor and ensuring its protection.",483
14,Organophosphate,Fine tuning,"Within these requirements, a large number of lipophilic and leaving groups have been used. The variation of these groups is one means of fine tuning the toxicity of the compound. A good example of this chemistry are the P-thiocyanate compounds which use an aryl (or alkyl) group and an alkylamino group as the lipophilic groups. The thiocyanate is the leaving group.",92
15,Seaweed fertiliser,Coastal eutrophication,"A growing population and intensification of industry and agriculture have increased the volume of wastewater discharged into coastal marine ecosystems. These waters typically contain high concentrations of nitrogen and phosphorus, and relatively high heavy metal concentrations, leading to eutrophication of many coastal ecosystems. Eutrophication results from the excessive nutrient load within these ecosystems resulting from the pollution of waters entering the oceans from industry, animal feed, and synthetic fertilizers, and thus over-fertilizes these systems. Eutrophication leads to high productivity in coastal systems, which can result in coastal hypoxia and ocean acidification, two major concerns for coastal ecosystems. A notable service of seaweed farming is its ability to act as a bio-remediator through uptake and removal of excessive nutrients in coastal ecosystems with their application to land uses. Brown algae, due in part to their large size, have been noted for their high productivity and corresponding high nutrient uptake in coastal ecosystems. Additionally, studies have focused on how brown algae growth can be optimized to increase biomass production and therefore increase the quantity of nutrients removed from these ecosystems. Studies have also explored the potential of brown algae to sequester large volumes of carbon (blue carbon).",242
16,Combined oral contraceptive pill,Effectiveness,"If used exactly as instructed, the estimated risk of getting pregnant is 0.3% which means that about 3 in 1000 women on COCPs will become pregnant within one year. However, typical use of COCPs by users often consists of timing errors, forgotten pills, or unwanted side effects. With typical use, the estimated risk of getting pregnant is about 9% which means that about 9 in 100 women on COCPs will become pregnant in one year. The perfect use failure rate is based on a review of pregnancy rates in clinical trials, and the typical use failure rate is based on a weighted average of estimates from the 1995 and 2002 U.S. National Surveys of Family Growth (NSFG), corrected for underreporting of abortions.Several factors account for typical use effectiveness being lower than perfect use effectiveness:

Mistakes on part of those providing instructions on how to use the method
Mistakes on part of the user
Conscious user non-compliance with instructionsFor instance, someone using COCPs might have received incorrect information by a health care provider about medication frequency, forgotten to take the pill one day or not gone to the pharmacy in time to renew her COCP prescription.
COCPs provide effective contraception from the very first pill if started within five days of the beginning of the menstrual cycle (within five days of the first day of menstruation). If started at any other time in the menstrual cycle, COCPs provide effective contraception only after 7 consecutive days of use of active pills, so a backup method of contraception (e.g. condoms) must be used in the interim.The effectiveness of COCPs appears to be similar whether the active pills are taken continuously or if they are taken cyclically. Contraceptive efficacy, however, could be impaired by numerous means. Factors that may contribute to a decrease in effectiveness:
Missing more than one active pill in a packet,
Delay in starting the next packet of active pills (i.e., extending the pill-free, inactive pill or placebo pill period beyond 7 days),
Intestinal malabsorption of active pills due to vomiting or diarrhea,
Drug-drug interactions among COCPs and other medications of the user that decrease contraceptive estrogen and/or progestogen levels.In any of these instances, a backup contraceptive method should be used until hormone active pills have been consistently taken for 7 consecutive days or drug-drug interactions or underlying illnesses have been discontinued or resolved. According to CDC guidelines, a pill is considered ""late"" if a user takes the pill after the user's normal medication time, but no longer than 24 hours after this normal time. If 24 hours or more have passed since the time the user was supposed to take the pill, then the pill is considered ""missed."" CDC guidelines discuss potential next steps for users who missed their pill or took it late.",584
17,Citrullus colocynthis,Seeds,"The seeds are gray and 5 millimetres (1⁄4 in) long by 3 mm (1⁄8 in) wide.
They are similarly bitter, nutty-flavored, and rich in fat and protein. They are eaten whole or used as an oilseed. The oil content of the seeds is 17–19% (w/w), consisting of 67–73% linoleic acid, 10–16% oleic acid, 5–8% stearic acid, and 9–12% palmitic acid. The oil yield is about 400 L/hectare. In addition, the seeds contain a high amount of arginine, tryptophan, and the sulfur-containing amino acids.",156
18,Molybdenum,Compounds,"Molybdenum forms chemical compounds in oxidation states −IV and from −II to +VI. Higher oxidation states are more relevant to its terrestrial occurrence and its biological roles, mid-level oxidation states are often associated with metal clusters, and very low oxidation states are typically associated with organomolybdenum compounds. Mo and W chemistry shows strong similarities. The relative rarity of molybdenum(III), for example, contrasts with the pervasiveness of the chromium(III) compounds. The highest oxidation state is seen in molybdenum(VI) oxide (MoO3), whereas the normal sulfur compound is molybdenum disulfide MoS2.

From the perspective of commerce, the most important compounds are molybdenum disulfide (MoS2) and molybdenum trioxide (MoO3). The black disulfide is the main mineral. It is roasted in air to give the trioxide:
2 MoS2 + 7 O2 → 2 MoO3 + 4 SO2The trioxide, which is volatile at high temperatures, is the precursor to virtually all other Mo compounds as well as alloys. Molybdenum has several oxidation states, the most stable being +4 and +6 (bolded in the table at left).
Molybdenum(VI) oxide is soluble in strong alkaline water, forming molybdates (MoO42−). Molybdates are weaker oxidants than chromates. They tend to form structurally complex oxyanions by condensation at lower pH values, such as [Mo7O24]6− and [Mo8O26]4−. Polymolybdates can incorporate other ions, forming polyoxometalates. The dark-blue phosphorus-containing heteropolymolybdate P[Mo12O40]3− is used for the spectroscopic detection of phosphorus. The broad range of oxidation states of molybdenum is reflected in various molybdenum chlorides:
Molybdenum(II) chloride MoCl2, which exists as the hexamer Mo6Cl12 and the related dianion [Mo6Cl14]2-.
Molybdenum(III) chloride MoCl3, a dark red solid, which converts to the anion trianionic complex [MoCl6]3-.
Molybdenum(IV) chloride MoCl4, a black solid, which adopts a polymeric structure.
Molybdenum(V) chloride MoCl5 dark green solid, which adopts a dimeric structure.
Molybdenum(VI) chloride MoCl6 is a black solid, which is monomeric and slowly decomposes to MoCl5 and Cl2 at room temperature.Like chromium and some other transition metals, molybdenum forms quadruple bonds, such as in Mo2(CH3COO)4 and [Mo2Cl8]4−. The Lewis acid properties of the butyrate and perfluorobutyrate dimers, Mo2(O2CR)4 and Rh2(O2CR) 4, have been reported.The oxidation state 0 and lower are possible with carbon monoxide as ligand, such as in molybdenum hexacarbonyl, Mo(CO)6.",712
19,Pithecellobium dulce,Ecology,"Pithecellobium dulce is a host plant for the caterpillars of the Common nawab (Polyura athamas), three-spot grass yellow (Eurema blanda), Bright babul blue (Azanus ubaldus) and several moths.",62
20,Health effects of tobacco,Usage,"Though tobacco may be consumed by either smoking or other smokeless methods such as chewing, the World Health Organization (WHO) only collects data on smoked tobacco. Smoking has therefore been studied more extensively than any other form of tobacco consumption.In 2000, smoking was practiced by 1.22 billion people, predicted to rise to 1.45 billion people in 2010 and 1.5 to 1.9 billion by 2025. If prevalence had decreased by 2% a year since 2000 this figure would have been 1.3 billion in 2010 and 2025. Despite dropping by 0.4 percent from 2009 to 2010, the United States still reports an average of 17.9 percent usage.As of 2002, about twenty percent of young teens (13–15) smoked worldwide, with 80,000 to 100,000 children taking up the addiction every day, roughly half of whom live in Asia. Half of those who begin smoking in adolescent years are projected to go on to smoke for 15 to 20 years.Teens are more likely to use e-cigarettes than cigarettes. About 31% of teenagers who use e-cigs started smoking within six months, compared to 8% of non-smokers. Manufacturers do not have to report what is in e-cigs, and most teens either say e-cigs contain only flavoring, or that they do not know what they contain.The WHO states that ""Much of the disease burden and premature mortality attributable to tobacco use disproportionately affect the poor"". Of the 1.22 billion smokers, 1 billion live in developing or transitional nations. Rates of smoking have leveled off or declined in the developed world. In the developing world, however, smoking rates were rising by 3.4% per year as of 2002.The WHO in 2004 projected 58.8 million deaths to occur globally,: 8  from which 5.4 million are smoking-attributed,: 23  and 4.9 million as of 2007. As of 2002, 70% of the deaths are in developing countries.The shift in prevalence of tobacco smoking to a younger demographic, mainly in the developing world, can be attributed to several factors. The tobacco industry spends up to $12.5 billion annually on advertising, which is increasingly geared towards adolescents in the developing world because they are a vulnerable audience for the marketing campaigns. Adolescents have more difficulty understanding the long-term health risks that are associated with smoking and are also more easily influenced by ""images of romance, success, sophistication, popularity, and adventure which advertising suggests they could achieve through the consumption of cigarettes"". This shift in marketing towards adolescents and even children in the tobacco industry is debilitating to organizations' and countries' efforts to improve child health and mortality in the developing world. It reverses or halts the effects of the work that has been done to improve health care in these countries, and although smoking is deemed as a ""voluntary"" health risk, the marketing of tobacco towards very impressionable adolescents in the developing world makes it less of a voluntary action and more of an inevitable shift.Many government regulations have been passed to protect citizens from harm caused by public environmental tobacco smoke. The ""Pro-Children Act of 2001"" prohibits smoking within any facility that provides health care, day care, library services, or elementary and secondary education to children in the US. On May 23, 2011, New York City enforced a smoking ban for all parks, beaches, and pedestrian malls in an attempt to eliminate threats posed to civilians by environmental tobacco smoke.",712
21,Poultry farming in the United States,Recommended culling practices,"The American Veterinary Medical Association recommends cervical dislocation and asphyxiation by carbon dioxide as the best options, but has recently amended their guidelines to include maceration, putting non-anesthetized chicks through a grinder.The 2005–2006 American Veterinary Medical Association Executive Board held its final meeting July 13 in Honolulu, prior to the 2006 session of the House of Delegates and the AVMA Annual Convention.  It proposed a policy change, which was recommended by the Animal Welfare Committee on disposal of unwanted chicks, poults, and pipped eggs. The new policy states, in part, ""Unwanted chicks, poults, and pipped eggs should be killed by an acceptable humane method, such as use of a commercially designed macerator that results in instantaneous death. Smothering unwanted chicks or poults in bags or containers is not acceptable. Pips, unwanted chicks, or poults should be killed prior to disposal. A pipped egg, or pip, is one where the chick or poult has not been successful in escaping the egg shell during the hatching process.""",232
22,Pomegranate,Varieties,"P. granatum var. nana is a dwarf variety of P. granatum popularly planted as an ornamental plant in gardens and larger containers, and used as a bonsai specimen tree. It could well be a wild form with a distinct origin. It has gained the Royal Horticultural Society's Award of Garden Merit.The only other species in the genus Punica is the Socotran pomegranate (P. protopunica), which is endemic to the Socotran archipelago of four islands located in the Arabian Sea, the largest island of which is also known as Socotra. The territory is part of Yemen. It differs in having pink (not red) flowers and smaller, less sweet fruit.",154
23,Types of tobacco,Habano,"Habano cigar wrapper is a leaf grown from a Cuban seed, hence the word “Habano” or “Havano,” referring to Cuba’s capital. Habano tobacco wrapper is darker in colour, has a much spicier flavor, a richer aroma, and has been grown in Nicaragua’s Jalapa Valley and Estelí since the 1990s.",86
24,"Federal Insecticide, Fungicide, and Rodenticide Act",Regulations,"In order to be considered for use, pesticides had to undergo 120 tests with regards to safety and its actual effectiveness. Because of these rigorous test, only 1 in 139,000 actually make it through to be used in agriculture. This act directly forbids certain substances and certain uses of those substances, as distinguished from other legislation regulating pesticides, which impose costs on certain practices but do not outlaw any.FIFRA established a set of pesticide regulations:
FIFRA established registration for all pesticides, which is only done after a period of data collection to determine the effectiveness for its intended use, appropriate dosage, and hazards of the particular material. When registered, a label is created to instruct the final user the proper usage of the material. If instructions are ignored, users are liable for any negative  consequences. Label directions are designed to maximize the effectiveness of the product, while protecting the applicator, consumers, and the environment.
Only a few pesticides are made available to the general public. Most pesticides are considered too hazardous for general use, and are restricted to certified applicators. FIFRA established a system of examination and certification both at the private level and at the commercial level for applicators who wish to purchase and use restricted use pesticides. The distribution of restricted pesticides is also monitored.
The EPA has different review processes for three categories of pesticides: antimicrobials, biopesticides, and conventional pesticides.  The three categories have a similar application process, but have different data requirements and review policies.  Depending on the category of pesticide, the review process can take several years.  After a pesticide is registered with the EPA, there may be state registration requirements to consider.
In addition to the rules and regulations given by the EPA, the states may also offer an additional set of rules and registration requirements for a registered pesticide. They can also request annual usage reports from the pesticide users.In addition to the FIFRA, the Pesticide Registration Improvement Act of 2003 amended the authorized fees for certain products, assessed the process of collecting maintenance fees, and decided on a review process for approving the pesticides. The Pesticide Registration Improvement Act of 2007 renewed these changes to stay in place until 2012. The purpose of the PRIA is to ensure a smooth implementation of pesticide rules and regulations to its users.",468
25,Vigna subterranea,Worldwide production and yield,"World production of Vigna subterranea increased from 29,800 tonnes in 1972 to 79,155 tonnes in 2015. 

The top six Bambara groundnut producing countries in Africa in 2018 include Burkina Faso, Niger, Cameroon, Mali, Togo and the Democratic Republic of the Congo with a total production of 0.06, 0.05, 0.04, 0.03, 0.02, and 0.01 million tonnes, respectively.The yield level of Bambara groundnut in Africa varies from 0.6−1 t ha−1 , depending on variety and production conditions. However, unshelled mean yields of up to 3 t ha−1 were reported when cultivating some landraces in the transition agro-ecological zone in Nigeria . A low mean yield of 0.85 t ha−1 was reported in Ghana under good management practices close to yield levels of other legumes such as cowpeas (0.80 t ha−1) and pigeon peas (0.78 t ha−1).",221
26,Chinese cabbage,Summary,"Chinese cabbage (Brassica rapa, subspecies pekinensis and chinensis) can refer to two cultivar groups of leaf vegetables often used in Chinese cuisine: the Pekinensis Group (napa cabbage) and the Chinensis Group (bok choy).
These vegetables are both variant cultivars or subspecies of the turnip and belong to the same genus as such Western staples as cabbage, broccoli, and cauliflower. Both have many variations in name, spelling, and scientific classification, especially bok choy cultivars.",115
27,Tomato,Nutrition,"A raw tomato is 95% water, contains 4% carbohydrates, and has less than 1% each of fat and protein (table). In a 100 grams (3.5 oz) reference amount, raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant micronutrient content (table).",79
28,Soulcalibur,Soulcalibur III,"Breaking with tradition, the PlayStation 2 version of Soulcalibur III was released in 2005 before an Arcade Edition was seen. It used a different graphics engine. Soulcalibur III contains a new single-player mode called ""Tales of Souls"", a story mode in which the player can make course-altering decisions. Arenas are more interactive, for example with rocks breaking if a character were to impact against them. Soulcalibur III is the first game in the series to feature a character creation system, and features a story mode called ""Chronicles of the Sword"" which is a mode with some strategic aspects for created characters. It is the only game in the Soulcalibur series to be THX approved.",148
29,Sustainable agriculture,Traditional agriculture,"Often thought of as inherently destructive, slash-and-burn or slash-and-char shifting cultivation have been practiced in the Amazon for thousands of years.Some traditional systems combine polyculture with sustainability. In South-East Asia, rice-fish systems on rice paddies have raised freshwater fish as well as rice, producing an additional product and reducing eutrophication of neighboring rivers. A variant in Indonesia combines rice, fish, ducks and water fern; the ducks eat the weeds that would otherwise limit rice growth, saving labour and herbicides, while the duck and fish manure substitute for fertilizer.Raised field agriculture has been recently revived in certain areas of the world, such as the Altiplano region in Bolivia and Peru. This has resurged in the form of traditional Waru Waru raised fields, which create nutrient-rich soil in regions where such soil is scarce. This method is extremely productive and has recently been utilized by indigenous groups in the area and the nearby Amazon Basin to make use of lands that have been historically hard to cultivate.
Other forms of traditional agriculture include agro forestry, crop rotations, and water harvesting. Water harvesting is one of the largest and most common practices, particularly used in dry areas and seasons. In Ethiopia, over half of their GDP and over 80 percent of their exports are attributed to agriculture; yet, it is known for its intense droughts and dry periods. Rain water harvesting is considered to be a low-cost alternative. This type of harvesting collects and stores water from roof tops during high-rain periods for use during droughts. Rainwater harvesting has been a large practice to help the country survive by focusing on runoff irrigation, roof water harvesting, and flood spreading.",351
30,Phenoxy herbicide,Auxins,"The first group to be discovered act by mimicking the growth hormone indoleacetic acid (IAA). When sprayed on broad-leaf plants they induce rapid, uncontrolled growth (""growing to death""). Thus when applied to monocotyledonous crops such as wheat or corn, they selectively kill broad-leaf weeds, leaving the crops relatively unaffected.

		
		
		
Introduced in 1946, these herbicides were in widespread use in agriculture by the middle of the 1950s. The best known phenoxy herbicides are (4-chloro-2-methylphenoxy)acetic acid (MCPA), 2,4-dichlorophenoxyacetic acid (2,4-D) and 2,4,5-trichlorophenoxyacetic acid (2,4,5-T). Analogues of each of these three compounds, with an extra methyl group attached next to the carboxylic acid, were subsequently commercialised as mecoprop, dichlorprop and fenoprop. The addition of the methyl group creates a chiral centre in these molecules and biological activity is found only in the (2R)-isomer (illustrated for dichlorprop).

		
		
		
		
Other members of this group include 4-(2,4-dichlorophenoxy)butyric acid (2,4-DB) and 4-(4-chloro-2-methylphenoxy)butyric acid (MCPB) which act as propesticides for 2,4-D and MCPA respectively: that is, they are converted in plants to these active ingredients. All the auxin herbicides retain activity when applied as salts and esters since these are also capable of producing the parent acid in situ.

The use of herbicides in US agriculture is mapped by the US Geological Survey. In 2019, the latest date for which figures are available, 2,4-D was the most used of the auxins. 45,000,000 pounds (20,000,000 kg) were sprayed that year, compared to 2,000,000 pounds (910,000 kg) of the next most heavily applied, MCPA. The other auxin now used in comparable amounts to 2,4-D is dicamba, where the 2019 figure was 30,000,000 pounds (14,000,000 kg). It is a benzoic acid rather than a phenoxyacetic acid whose use has grown rapidly since 2016 as crops genetically modified to be resistant to it have been cultivated.",539
31,Rotary snowplow,Power,"Early rotaries had steam engines inside their car bodies to power the blades; a few are still in working order, and in particular one on the White Pass and Yukon Route in Alaska performs annual demonstration runs through thick snow for the benefit of photographers and railway enthusiasts. Rotaries of newer construction are either diesel- or electric-powered. Many steam plows were converted to electricity. Some electric plows can take their power from a locomotive, while others are semi-permanently coupled to power units, generally old locomotives with their traction motors removed; these are colloquially called ""snails."" (This is derived from the fact that engineless but motored units that take their power from another locomotive are ""slugs""; thus the opposite, with engine but no motors, is a ""snail."")",170
32,Magnesium deficiency,Calcium,"Release of calcium from the sarcoplasmic reticulum is inhibited by magnesium. Thus hypomagnesemia results in an increased intracellular calcium level. This inhibits the release of  parathyroid hormone, which can result in hypoparathyroidism and hypocalcemia. Furthermore, it makes skeletal and muscle receptors less sensitive to parathyroid hormone.",79
33,Anthracite iron,Historical backdrop,"Meanwhile, between 1814 and 1818 industries along the Eastern Seaboard were still thirsting for energy relief when inquiries to the LHCM Co. by Hazard & White indicated the operation & rights of the company were available.  Frustrated by the snail-like progress of improvements that would become the Schuylkill Canal, White & Hazard applied to the Pennsylvania legislature for the rights to improve and operate navigations upon the rapids-strewn Lehigh River initiating the process that lead to the Lehigh Canal—beginning regular high volume & reliable coal deliveries in late 1820—and the great changes a flood of anthracite would create in the next century.",140
